Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
12416907	-395	264	-254
12417235	-396	309	-261
12417563	-331	344	-273
12417891	-277	358	-298
12418219	-315	333	-290
12418547	-347	340	-281
12418875	-368	326	-274
12419203	-384	383	-251
12419531	-378	416	-276
12419859	-358	378	-299
12420187	-312	402	-330
12420515	-252	465	-337
12420843	-182	481	-350
12421171	-158	494	-370
12421499	-179	504	-390
12421827	-181	457	-418
12422155	-220	453	-463
12422483	-248	458	-495
12422811	-277	477	-513
12423139	-189	474	-541
12423467	-86	559	-581
12423795	-47	589	-609
12424123	-50	549	-639
12424451	-106	525	-634
12424779	-152	551	-635
12425107	-165	544	-608
12425435	-114	543	-588
12425763	19	620	-640
12426091	101	593	-646
12426419	193	571	-683
12426747	224	577	-674
12427075	202	540	-667
12427403	190	549	-694
12427731	73	541	-746
12428059	-4	511	-806
12428387	-79	543	-886
12428715	-179	592	-975
12429043	-291	650	-1097
12429371	-514	675	-1252
12429699	-842	710	-1474
12430027	-1145	783	-1696
12430355	-1353	898	-1918
12430683	-1534	1022	-2078
12431011	-1606	1290	-2349
12431339	-1654	1542	-2594
12431667	-1737	1828	-2899
12431995	-1900	2138	-3077
12432323	-2141	2200	-3171
12432651	-2361	2159	-3261
12432979	-2283	2292	-3385
12433307	-1831	2718	-3487
12433635	-1872	2952	-3669
12433963	-1442	3168	-3723
12434291	-1449	3049	-3754
12434619	-1001	2810	-3940
12434947	-1042	3103	-4068
12435275	-952	3976	-4202
12435603	-724	4586	-4225
12435931	-784	4635	-3998
12436259	-1015	4047	-4135
12436587	-1165	3462	-4272
12436915	-1282	3369	-4288
12437243	-1561	2646	-4053
12437571	-2288	1060	-3620
12437899	-2695	-154	-3206
12438227	-2653	-164	-2852
12438555	-2720	1255	-2564
12438883	-3189	3104	-2320
12439211	-3395	4008	-2486
12439539	-3580	3512	-2758
12439867	-3499	3254	-2713
12440195	-3060	2553	-2306
12440523	-2612	927	-1790
12440851	-2408	-10	-2255
12441179	-2763	-878	-3018
12441507	-3222	-1654	-3720
12441835	-3360	-1702	-3378
12442163	-3428	-1920	-2968
12442491	-2920	-2219	-2309
12442819	-1649	-1558	-1774
12443147	-440	21	-1444
12443475	516	1359	-809
12443803	1236	1199	-142
12444131	1619	639	733
12444459	1805	-111	1408
12444787	1667	-964	1711
12445115	1569	-1817	2098
12445443	1705	-2724	2607
12445771	2033	-3480	3479
12446099	2379	-3969	4667
12446427	2964	-5037	5778
12446755	4109	-5636	6376
12447083	5673	-5987	6817
12447411	7005	-5415	6954
12447739	9454	-4781	6553
12448067	11087	-4777	7481
12448395	11915	-4314	8590
12448723	12326	-3591	9457
12449051	11667	-3957	10162
12449379	10710	-7264	10734
12449707	8094	-12713	11073
12450035	1857	-17197	11994
12450363	-953	-18501	13088
12450691	-4441	-15561	8485
12451019	-5839	-3523	3410
12451347	-7695	8086	-821
12451675	-4944	13418	-3429
12452003	-4816	13049	-4649
12452331	-1428	4370	-2617
12452659	2619	-624	225
12452987	6417	-3673	2740
12453315	8510	-5850	3097
12453643	8823	-4802	2500
12453971	7698	-2151	2105
12454299	5615	-281	1932
12454627	3939	1034	1595
12454955	3394	2654	958
12455283	3340	3206	290
12455611	3263	2598	191
12455939	2844	2222	-19
12456267	1842	1526	-273
12456595	1195	991	-626
12456923	679	631	-1112
12457251	704	712	-1851
12457579	446	1408	-2596
12457907	-128	2285	-3559
12458235	-1022	2686	-4510
12458563	-1730	2640	-5258
12458891	-2167	2541	-5425
12459219	-2623	2312	-5505
12459547	-2605	2051	-5767
12459875	-2258	860	-5694
12460203	-5552	-1055	-6236
12460531	-8360	-5449	-8419
12460859	-10916	9395	-12747
12461187	-10947	23466	-14997
12461515	-5966	16862	-11058
12461843	1473	9609	471
12462171	1616	8233	4472
12462499	6607	10093	3602
12462827	3438	10251	1454
12463155	3064	884	-2325
12463483	-1371	-2613	-8614
12463811	-7909	-6697	-10573
12464139	-12015	-8447	-8225
12464467	-12226	-11971	-4338
12464795	-7389	-15110	74
12465123	-1481	-5193	3212
12465451	7713	8227	5907
12465779	5216	8210	3013
12466107	8448	3935	4217
12466435	9248	6305	4383
12466763	9047	6207	4938
12467091	8382	5770	5467
12467419	5954	4103	6548
12467747	3513	1013	7581
12468075	511	-1843	6638
12468403	-2733	-5745	5062
12468731	-4685	-9186	4069
12469059	-5089	-11115	4088
12469387	-4247	-10870	3654
12469715	-2788	-8915	3171
12470043	-1925	-6705	2767
12470371	-1586	-4741	2867
12470699	-1116	-3304	2827
12471027	-850	-2466	3084
12471355	-890	-1874	2779
12471683	-1064	-1919	2408
12472011	-988	-2075	2428
12472339	-826	-1839	2580
12472667	-1839	-1765	2469
12472995	-1706	-2234	2362
12473323	-1199	-2087	1928
12473651	-1135	-1640	1454
12473979	-973	-1557	1028
12474307	-832	-1341	969
12474635	-902	-1091	848
12474963	-1191	-1143	768
12475291	-1247	-1075	734
12475619	-1286	-1088	759
12475947	-1636	-1193	653
12476275	-1915	-1653	709
12476603	-2247	-1944	778
12476931	-2663	-2107	937
12477259	-3179	-2229	1089
12477587	-3276	-2170	1203
12477915	-3087	-1882	1182
12478243	-2807	-1593	1007
12478571	-2299	-1537	759
12478899	-1736	-1465	574
12479227	-943	-1080	364
12479555	92	-493	188
12479883	1433	456	-50
12480211	2529	1390	-546
12480539	2876	1712	-767
12480867	3382	1600	-475
12481195	4173	1500	-161
12481523	5210	1536	165
12481851	6373	1833	324
12482179	7105	2430	624
12482507	5122	2948	876
12482835	2959	2656	-47
12483163	1913	1248	-295
12483491	1301	-953	-69
12483819	1419	-801	209
12484147	1581	-67	-59
12484475	1652	166	-319
12484803	1542	108	-668
12485131	1275	150	-608
12485459	686	204	-363
12485787	-105	56	-77
12486115	-888	116	90
12486443	-1224	203	177
12486771	-1297	200	183
12487099	-1271	156	117
12487427	-1062	152	18
12487755	-764	79	-14
12488083	-528	37	-142
12488411	-261	79	-188
12488739	-129	165	-151
12489067	-165	154	-125
12489395	-252	145	-116
12489723	-374	142	-129
12490051	-527	99	-130
12490379	-670	86	-136
12490707	-728	140	-143
12491035	-623	243	-159
12491363	-418	322	-157
12491691	-79	371	-162
