Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
3937519	-129	140	-44
3937847	-116	150	-48
3938175	-122	183	-31
3938503	-132	170	-29
3938831	-127	197	-40
3939159	-162	186	-35
3939487	-169	190	-8
3939815	-185	168	-1
3940143	-178	165	11
3940471	-160	191	13
3940799	-148	173	8
3941127	-130	121	-7
3941455	-70	183	3
3941783	-55	150	8
3942111	-36	148	29
3942439	-35	153	40
3942767	-51	139	37
3943095	-37	118	32
3943423	-67	136	42
3943751	-87	169	51
3944079	-83	199	46
3944407	28	156	41
3944735	156	58	38
3945063	255	-13	53
3945391	65	106	92
3945719	-257	187	159
3946047	-385	56	189
3946375	-363	59	178
3946703	-349	196	161
3947031	-134	128	99
3947359	13	99	105
3947687	55	190	122
3948015	44	152	131
3948343	52	186	133
3948671	80	185	120
3948999	129	65	127
3949327	111	150	152
3949655	14	255	168
3949983	-16	138	151
3950311	67	48	136
3950639	133	34	147
3950967	230	55	127
3951295	328	72	123
3951623	379	135	111
3951951	348	195	101
3952279	215	104	97
3952607	248	227	109
3952935	191	110	122
3953263	199	168	103
3953591	80	128	96
3953919	115	184	69
3954247	114	173	33
3954575	146	173	-3
3954903	110	108	-48
3955231	33	68	-61
3955559	131	111	-50
3955887	59	93	-76
3956215	80	183	-123
3956543	150	174	-158
3956871	129	244	-174
3957199	2	223	-190
3957527	-221	200	-152
3957855	-434	167	-120
3958183	-534	175	-104
3958511	-643	120	-115
3958839	-572	163	-130
3959167	-491	142	-161
3959495	-327	190	-184
3959823	-259	204	-204
3960151	-150	125	-159
3960479	-13	152	-117
3960807	-61	136	-85
3961135	-141	209	-77
3961463	-193	142	-57
3961791	-177	165	-28
3962119	-62	180	-21
3962447	22	125	-5
3962775	2	185	28
3963103	-28	171	37
3963431	-30	193	30
3963759	-38	95	50
3964087	-37	141	57
3964415	-129	94	82
3964743	-178	167	94
3965071	-265	210	82
3965399	-261	157	81
3965727	-258	132	58
3966055	-127	156	71
3966383	-50	78	54
3966711	-4	229	60
3967039	-62	75	54
3967367	-2	157	48
3967695	-90	139	55
3968023	-188	201	50
3968351	-183	238	83
3968679	-125	128	75
3969007	-112	90	53
3969335	-31	109	43
3969663	7	104	13
3969991	38	124	7
3970319	21	195	24
3970647	-16	194	53
3970975	-58	164	74
3971303	-149	171	72
3971631	-137	164	83
3971959	-131	137	81
3972287	-68	160	75
3972615	-62	160	54
3972943	33	181	48
3973271	102	98	37
3973599	219	135	29
3973927	236	143	35
3974255	179	64	37
3974583	230	83	20
3974911	329	64	5
3975239	383	-12	-21
3975567	436	86	5
3975895	401	101	16
3976223	368	58	-23
3976551	350	60	-33
3976879	409	45	-8
3977207	397	55	-24
3977535	314	119	-24
3977863	313	72	-52
3978191	281	54	-46
3978519	209	33	-30
3978847	40	4	11
3979175	-96	82	58
3979503	-232	73	59
3979831	-291	91	55
3980159	-245	25	31
3980487	-111	77	21
3980815	-66	32	-10
3981143	0	39	-20
3981471	54	66	-11
3981799	46	31	-21
3982127	79	150	-16
3982455	48	122	-43
3982783	4	64	-48
3983111	1	121	-34
3983439	-85	144	-30
3983767	-151	166	-33
3984095	-158	158	-45
3984423	-146	113	-42
3984751	-152	113	-45
3985079	-160	147	-28
3985407	-140	186	-28
3985735	-183	194	-40
3986063	-173	202	-45
3986391	-160	161	-56
3986719	-200	153	-69
3987047	-163	136	-72
3987375	-190	152	-63
3987703	-209	166	-56
3988031	-237	169	-57
3988359	-247	169	-56
3988687	-239	129	-72
3989015	-210	125	-86
3989343	-170	123	-74
3989671	-181	130	-73
3989999	-157	147	-65
3990327	-126	155	-74
3990655	-91	129	-88
3990983	-24	112	-104
3991311	-23	142	-105
3991639	-122	100	-110
3991967	-182	100	-86
3992295	-178	134	-79
3992623	-196	237	-43
3992951	-144	124	-49
3993279	-104	69	-17
3993607	-133	65	-1
3993935	-93	68	2
3994263	-85	71	9
3994591	-29	71	16
3994919	-28	-6	6
3995247	11	155	32
3995575	-133	22	34
3995903	-187	32	31
3996231	-214	51	39
3996559	-304	34	22
3996887	-317	113	47
3997215	-214	67	43
3997543	-124	41	13
3997871	30	-14	18
3998199	73	-31	1
3998527	89	100	6
3998855	54	15	-6
3999183	20	-16	-2
3999511	-6	63	4
3999839	-10	87	8
4000167	-56	64	9
4000495	-50	59	-1
4000823	-23	40	-13
4001151	-8	43	-24
4001479	42	36	-28
4001807	76	43	-37
4002135	80	64	-35
4002463	96	47	-57
4002791	-20	84	-48
4003119	-80	159	-62
4003447	-165	112	-65
4003775	-132	147	-76
4004103	-119	187	-73
4004431	-80	135	-113
4004759	-96	106	-111
4005087	-78	192	-118
4005415	-135	221	-117
4005743	-192	256	-116
4006071	-212	285	-111
4006399	-181	253	-108
4006727	-214	278	-124
4007055	-256	290	-152
4007383	-327	201	-146
4007711	-304	260	-133
4008039	-321	280	-130
4008367	-277	231	-162
4008695	-192	246	-174
4009023	-126	247	-148
4009351	-141	253	-125
4009679	-247	327	-109
4010007	-224	323	-83
4010335	-196	273	-86
4010663	-127	333	-90
4010991	-27	272	-85
4011319	94	289	-53
4011647	202	343	-64
4011975	222	259	-74
4012303	227	263	-77
4012631	119	304	-56
4012959	41	355	-49
4013287	-29	284	-32
4013615	8	304	-29
4013943	-72	248	-42
4014271	-148	315	-52
4014599	-207	364	-84
4014927	-167	304	-80
4015255	-81	332	-68
4015583	-24	338	-58
4015911	5	246	-91
4016239	44	235	-125
4016567	59	201	-130
4016895	58	158	-125
4017223	27	200	-121
4017551	-90	267	-95
4017879	-138	223	-86
4018207	-113	221	-80
4018535	-17	194	-119
4018863	71	155	-168
4019191	105	213	-196
4019519	119	261	-160
4019847	110	231	-125
4020175	20	224	-100
4020503	-70	202	-81
4020831	-113	140	-86
4021159	-162	89	-100
4021487	-191	157	-89
4021815	-197	245	-67
4022143	-255	245	-72
4022471	-271	277	-48
4022799	-244	244	-34
4023127	-211	180	-56
4023455	-140	268	-70
4023783	-85	247	-79
4024111	5	207	-101
4024439	150	267	-67
4024767	62	324	-21
4025095	-78	354	54
4025423	-308	284	105
4025751	-491	307	116
4026079	-544	171	115
4026407	-480	170	102
4026735	-443	175	103
4027063	-531	184	121
