Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
11305336	-69	126	-12
11305664	-46	79	-17
11305992	-45	133	-9
11306320	-45	118	-23
11306648	-62	104	-20
11306976	-56	132	-1
11307304	-44	109	-10
11307632	-41	135	-8
11307960	-26	142	-11
11308288	-7	118	-12
11308616	-16	139	-6
11308944	-33	155	-3
11309272	-35	138	5
11309600	-34	123	2
11309928	-39	143	0
11310256	-46	118	-3
11310584	-32	136	-3
11310912	-7	132	-7
11311240	-9	122	-24
11311568	7	158	-9
11311896	10	152	-8
11312224	-29	133	-7
11312552	-12	146	-12
11312880	-30	136	-4
11313208	-39	152	-11
11313536	-34	133	-8
11313864	-55	151	-15
11314192	-31	123	-20
11314520	-31	130	-14
11314848	-29	146	-14
11315176	-35	146	-16
11315504	-19	147	-13
11315832	-18	141	-24
11316160	-6	145	-18
11316488	-11	130	-23
11316816	-10	143	-21
11317144	-13	152	-12
11317472	-12	149	-16
11317800	8	154	-25
11318128	1	150	-22
11318456	-2	144	-31
11318784	-16	148	-31
11319112	1	144	-30
11319440	-17	133	-25
11319768	-45	138	-31
11320096	-39	147	-25
11320424	-41	134	-33
11320752	-49	163	-29
11321080	-44	133	-26
11321408	-42	93	-31
11321736	-30	134	-37
11322064	-47	133	-29
11322392	-49	100	-31
11322720	-60	117	-41
11323048	-65	137	-25
11323376	-59	123	-46
11323704	-63	116	-44
11324032	-53	125	-47
11324360	-66	164	-41
11324688	-40	136	-43
11325016	-41	137	-45
11325344	-31	156	-51
11325672	-35	131	-38
11326000	-35	147	-43
11326328	-33	147	-35
11326656	-33	143	-31
11326984	-33	145	-39
11327312	-56	148	-33
11327640	-47	136	-33
11327968	-38	137	-38
11328296	-33	138	-36
11328624	-32	160	-48
11328952	-32	129	-38
11329280	-55	134	-39
11329608	-54	137	-38
11329936	-57	150	-36
11330264	-59	150	-35
11330592	-62	120	-34
11330920	-53	133	-47
11331248	-43	130	-42
11331576	-33	124	-52
11331904	-28	118	-42
11332232	-42	127	-33
11332560	-41	137	-33
11332888	-56	132	-35
11333216	-37	130	-39
11333544	-62	137	-32
11333872	-62	130	-39
11334200	-54	145	-34
11334528	-61	139	-32
11334856	-70	147	-30
11335184	-74	140	-31
11335512	-59	170	-26
11335840	-55	143	-26
11336168	-41	141	-26
11336496	-66	163	-30
11336824	-63	157	-25
11337152	-65	141	-33
11337480	-62	155	-25
11337808	-54	149	-42
11338136	-56	117	-47
11338464	-37	142	-48
11338792	-47	131	-45
11339120	-25	131	-38
11339448	-49	141	-50
11339776	-49	142	-47
11340104	-49	135	-38
11340432	-47	157	-31
11340760	-50	162	-37
11341088	-38	126	-37
11341416	-44	136	-43
11341744	-42	151	-35
11342072	-48	148	-42
11342400	-37	134	-41
11342728	-42	141	-37
11343056	-34	141	-39
11343384	-40	122	-42
11343712	-57	169	-38
11344040	-56	145	-44
11344368	-36	129	-38
11344696	-24	152	-38
11345024	-23	140	-31
11345352	-19	137	-32
11345680	-10	130	-35
11346008	8	152	-37
11346336	-12	125	-54
11346664	-2	97	-32
11346992	-8	132	-49
11347320	2	139	-36
11347648	-16	116	-38
11347976	-18	129	-37
11348304	-12	137	-42
11348632	-39	133	-30
11348960	-64	151	-44
11349288	-67	152	-30
11349616	-85	156	-36
11349944	-70	185	-44
11350272	-70	149	-44
11350600	-86	156	-58
11350928	-106	171	-52
11351256	-87	166	-58
11351584	-104	176	-44
11351912	-101	148	-56
11352240	-91	162	-53
11352568	-53	164	-46
11352896	-70	165	-56
11353224	-53	142	-61
11353552	-56	139	-55
11353880	-64	160	-58
11354208	-79	150	-61
11354536	-95	146	-53
11354864	-90	145	-49
11355192	-81	144	-56
11355520	-86	131	-59
11355848	-93	141	-58
11356176	-103	139	-48
11356504	-93	124	-60
11356832	-100	120	-50
11357160	-86	143	-53
11357488	-76	144	-51
11357816	-88	146	-69
11358144	-88	142	-53
11358472	-78	138	-53
11358800	-63	143	-46
11359128	-61	162	-48
11359456	-59	134	-44
11359784	-47	132	-51
11360112	-25	162	-39
11360440	-19	152	-44
11360768	-40	133	-42
11361096	-50	146	-32
11361424	-62	158	-22
11361752	-73	149	-32
11362080	-61	144	-33
11362408	-63	152	-19
11362736	-61	146	-19
11363064	-62	159	-26
11363392	-64	168	-24
11363720	-57	159	-24
11364048	-58	142	-12
11364376	-32	162	-7
11364704	-26	162	-38
11365032	-42	122	-19
11365360	-37	130	-30
11365688	-60	157	-30
11366016	-62	142	-29
11366344	-57	157	-26
11366672	-49	127	-31
11367000	-45	143	-31
11367328	-42	148	-37
11367656	-56	130	-24
11367984	-56	149	-32
11368312	-47	143	-22
11368640	-50	134	-41
11368968	-51	152	-24
11369296	-39	125	-32
11369624	-55	143	-32
11369952	-79	144	-21
11370280	-86	122	-25
11370608	-99	138	-23
11370936	-93	145	-37
11371264	-95	140	-17
11371592	-97	126	-35
11371920	-111	124	-19
11372248	-145	135	-27
11372576	-162	144	-22
11372904	-156	142	-17
11373232	-142	148	-15
11373560	-132	130	-5
11373888	-124	155	-11
11374216	-130	162	-18
11374544	-149	120	-7
11374872	-126	127	-13
11375200	-135	147	-17
11375528	-121	109	-15
11375856	-117	131	-25
11376184	-100	165	-16
11376512	-87	105	-20
11376840	-64	113	-19
11377168	-65	150	-20
11377496	-46	144	-21
11377824	-39	125	-16
11378152	-56	130	-25
11378480	-55	145	-28
11378808	-55	147	-22
11379136	-56	170	-29
11379464	-29	128	-30
11379792	-28	120	-31
11380120	-28	166	-30
11380448	-36	139	-25
11380776	-32	119	-27
11381104	-20	141	-26
11381432	0	141	-12
11381760	4	130	-15
11382088	-6	168	-25
11382416	-6	141	-23
11382744	-6	120	-8
11383072	-28	155	-20
11383400	-30	175	-9
11383728	-56	168	-4
11384056	-47	156	-13
11384384	-48	181	-8
11384712	-11	152	-12
11385040	-23	163	-21
11385368	-23	192	-22
11385696	-27	144	-26
11386024	-25	144	-29
11386352	-21	181	-35
11386680	-63	153	-40
11387008	-90	153	-37
11387336	-101	180	-46
11387664	-82	166	-31
11387992	-58	144	-57
11388320	-45	154	-36
11388648	-27	172	-53
11388976	-8	141	-59
11389304	-26	144	-47
11389632	-20	173	-52
