Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
5389605	-97	125	-62
5389933	-87	126	-58
5390261	-69	137	-50
5390589	-99	135	-55
5390917	-86	129	-60
5391245	-103	142	-60
5391573	-101	122	-48
5391901	-84	136	-36
5392229	-90	131	-44
5392557	-93	130	-40
5392885	-77	124	-43
5393213	-84	121	-34
5393541	-78	130	-32
5393869	-75	127	-23
5394197	-75	124	-22
5394525	-71	112	-18
5394853	-74	121	-17
5395181	-64	122	-5
5395509	-64	129	-5
5395837	-87	117	5
5396165	-72	126	2
5396493	-78	116	15
5396821	-78	117	7
5397149	-68	128	12
5397477	-83	130	0
5397805	-64	125	11
5398133	-77	120	0
5398461	-69	123	11
5398789	-65	119	1
5399117	-68	136	7
5399445	-48	135	13
5399773	-29	120	-10
5400101	-18	129	0
5400429	-40	140	10
5400757	-50	134	-3
5401085	-61	124	2
5401413	-53	135	3
5401741	-54	135	-14
5402069	-53	145	2
5402397	-37	142	-5
5402725	-40	142	-6
5403053	-32	132	-23
5403381	-38	133	-11
5403709	-40	125	-9
5404037	-48	122	-9
5404365	-51	128	-10
5404693	-49	140	-9
5405021	-35	129	-13
5405349	-28	144	-16
5405677	-35	121	-11
5406005	-36	119	-22
5406333	-53	129	-16
5406661	-47	135	-1
5406989	-70	138	-16
5407317	-84	153	-7
5407645	-65	133	-14
5407973	-51	135	-18
5408301	-46	130	-19
5408629	-69	135	-3
5408957	-59	115	-18
5409285	-70	130	-8
5409613	-84	119	-7
5409941	-75	141	-13
5410269	-74	137	-21
5410597	-70	128	-20
5410925	-51	139	-16
5411253	-69	144	-14
5411581	-65	143	-15
5411909	-77	139	-14
5412237	-98	132	-18
5412565	-109	136	-33
5412893	-94	137	-20
5413221	-92	143	-23
5413549	-92	139	-29
5413877	-90	135	-33
5414205	-79	132	-25
5414533	-80	137	-25
5414861	-87	137	-23
5415189	-92	132	-28
5415517	-93	133	-21
5415845	-112	133	-27
5416173	-106	145	-27
5416501	-117	141	-22
5416829	-93	131	-25
5417157	-91	132	-27
5417485	-96	146	-30
5417813	-91	132	-26
5418141	-112	136	-8
5418469	-126	150	-25
5418797	-135	141	-28
5419125	-134	143	-33
5419453	-120	142	-25
5419781	-108	148	-20
5420109	-109	142	-27
5420437	-108	152	-25
5420765	-112	152	-27
5421093	-119	143	-27
5421421	-135	147	-35
5421749	-128	148	-21
5422077	-125	143	-18
5422405	-120	145	-22
5422733	-111	159	-10
5423061	-123	163	-25
5423389	-97	165	-35
5423717	-106	150	-32
5424045	-134	155	-26
5424373	-136	163	-19
5424701	-125	173	-18
5425029	-122	165	-21
5425357	-101	178	-33
5425685	-104	172	-37
5426013	-102	179	-29
5426341	-119	166	-33
5426669	-136	175	-21
5426997	-126	176	-33
5427325	-129	174	-19
5427653	-125	188	-27
5427981	-87	184	-24
5428309	-88	194	-31
5428637	-95	182	-1
5428965	-74	192	-13
5429293	-84	189	-4
5429621	-90	199	-17
5429949	-78	193	-8
5430277	-69	199	-16
5430605	-73	198	-7
5430933	-95	203	22
5431261	-111	207	-2
5431589	-102	206	10
5431917	-93	208	5
5432245	-97	195	30
5432573	-102	215	9
5432901	-94	207	21
5433229	-87	212	28
5433557	-100	198	31
5433885	-104	210	15
5434213	-76	232	16
5434541	-74	231	27
5434869	-82	232	8
5435197	-124	255	2
5435525	-105	230	12
5435853	-129	248	16
5436181	-116	240	5
5436509	-119	226	2
5436837	-85	229	25
5437165	-63	249	36
5437493	-69	229	39
5437821	-65	241	31
5438149	-61	239	47
5438477	-58	228	67
5438805	-72	227	65
5439133	-96	213	55
5439461	-113	225	61
5439789	-108	216	89
5440117	-106	230	62
5440445	-112	230	72
5440773	-93	225	66
5441101	-67	229	82
5441429	-84	224	82
5441757	-96	216	76
5442085	-111	220	86
5442413	-120	227	91
5442741	-96	217	83
5443069	-100	243	70
5443397	-71	235	57
5443725	-57	246	69
5444053	-41	219	70
5444381	-46	240	66
5444709	-56	230	59
5445037	-49	233	56
5445365	-63	245	32
5445693	-77	242	17
5446021	-77	244	24
5446349	-98	229	12
5446677	-111	227	20
5447005	-117	218	12
5447333	-133	222	16
5447661	-120	221	16
5447989	-96	214	11
5448317	-95	235	7
5448645	-95	212	2
5448973	-92	224	11
5449301	-139	190	-10
5449629	-158	186	23
5449957	-157	196	23
5450285	-152	207	27
5450613	-145	198	21
5450941	-121	207	17
5451269	-116	192	23
5451597	-145	190	12
5451925	-146	200	18
5452253	-155	195	4
5452581	-164	195	14
5452909	-152	196	15
5453237	-134	203	9
5453565	-103	198	7
5453893	-81	217	3
5454221	-70	194	2
5454549	-62	193	11
5454877	-88	200	6
5455205	-96	210	1
5455533	-90	203	-6
5455861	-95	192	-3
5456189	-93	189	-19
5456517	-70	189	-14
5456845	-61	193	-6
5457173	-68	199	-21
5457501	-101	175	-15
5457829	-105	175	9
5458157	-99	188	-13
5458485	-99	187	-15
5458813	-97	186	-20
5459141	-103	192	-19
5459469	-90	192	-14
5459797	-86	190	-21
5460125	-98	199	-14
5460453	-57	192	-20
5460781	-54	195	-20
5461109	-56	188	-27
5461437	-56	194	-34
5461765	-80	208	-36
5462093	-82	196	-35
5462421	-99	179	-41
5462749	-104	176	-42
5463077	-87	193	-32
5463405	-67	178	-36
5463733	-52	186	-44
5464061	-39	175	-48
5464389	-47	186	-43
5464717	-62	175	-60
5465045	-86	183	-46
5465373	-107	175	-51
5465701	-114	179	-70
5466029	-132	157	-57
5466357	-146	178	-68
5466685	-131	168	-72
5467013	-100	174	-66
5467341	-82	165	-73
5467669	-91	171	-73
5467997	-99	155	-89
5468325	-121	149	-84
5468653	-113	168	-85
5468981	-118	175	-85
5469309	-99	156	-79
5469637	-95	163	-99
5469965	-112	150	-94
5470293	-103	164	-82
5470621	-112	144	-82
5470949	-114	151	-99
5471277	-117	160	-94
5471605	-128	153	-88
5471933	-117	149	-84
5472261	-103	151	-97
5472589	-111	139	-88
5472917	-114	131	-87
5473245	-88	129	-98
5473573	-99	123	-96
5473901	-101	118	-97
5474229	-105	118	-96
5474557	-127	129	-89
5474885	-101	126	-86
5475213	-115	115	-93
5475541	-104	112	-85
5475869	-107	104	-86
5476197	-103	106	-71
