Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
13090065	-74	124	-45
13090393	-60	132	-47
13090721	-75	106	-42
13091049	-85	144	-39
13091377	-70	145	-37
13091705	-81	125	-35
13092033	-49	133	-31
13092361	-65	137	-27
13092689	-67	125	-27
13093017	-66	138	-27
13093345	-69	138	-33
13093673	-54	132	-41
13094001	-54	142	-47
13094329	-55	141	-29
13094657	-47	134	-33
13094985	-46	125	-33
13095313	-29	135	-43
13095641	-29	135	-37
13095969	-8	124	-35
13096297	-4	136	-36
13096625	-12	119	-34
13096953	-13	125	-47
13097281	-18	118	-41
13097609	-48	134	-38
13097937	-33	130	-31
13098265	-49	118	-34
13098593	-35	127	-30
13098921	-31	120	-26
13099249	-31	117	-43
13099577	-21	113	-31
13099905	-24	124	-33
13100233	-22	130	-37
13100561	-34	122	-35
13100889	-25	121	-34
13101217	-46	121	-31
13101545	-44	119	-29
13101873	-52	125	-28
13102201	-52	138	-24
13102529	-50	132	-31
13102857	-57	128	-32
13103185	-55	122	-22
13103513	-50	128	-39
13103841	-50	124	-38
13104169	-55	144	-31
13104497	-58	125	-27
13104825	-47	124	-29
13105153	-55	134	-36
13105481	-42	138	-31
13105809	-51	143	-33
13106137	-39	122	-31
13106465	-51	126	-28
13106793	-40	120	-38
13107121	-57	126	-35
13107449	-51	137	-32
13107777	-63	119	-37
13108105	-68	128	-38
13108433	-74	119	-49
13108761	-79	141	-53
13109089	-81	115	-39
13109417	-67	123	-60
13109745	-71	128	-57
13110073	-59	125	-61
13110401	-71	128	-55
13110729	-66	122	-45
13111057	-49	138	-49
13111385	-56	126	-52
13111713	-38	124	-56
13112041	-39	118	-54
13112369	-40	121	-55
13112697	-51	124	-53
13113025	-54	124	-53
13113353	-75	126	-39
13113681	-88	121	-43
13114009	-70	123	-49
13114337	-67	125	-52
13114665	-57	109	-49
13114993	-63	120	-43
13115321	-63	117	-39
13115649	-69	99	-41
13115977	-68	117	-33
13116305	-52	122	-44
13116633	-59	118	-37
13116961	-46	125	-34
13117289	-40	126	-35
13117617	-46	140	-30
13117945	-58	136	-27
13118273	-71	137	-31
13118601	-66	153	-33
13118929	-59	126	-31
13119257	-53	150	-30
13119585	-51	139	-23
13119913	-52	143	-41
13120241	-71	140	-20
13120569	-68	139	-37
13120897	-51	135	-41
13121225	-45	138	-45
13121553	-49	128	-38
13121881	-51	146	-28
13122209	-57	138	-21
13122537	-80	141	-40
13122865	-61	134	-37
13123193	-73	131	-39
13123521	-59	130	-24
13123849	-67	129	-33
13124177	-56	140	-40
13124505	-66	139	-36
13124833	-50	120	-30
13125161	-75	134	-29
13125489	-42	140	-35
13125817	-44	132	-40
13126145	-50	135	-21
13126473	-41	131	-28
13126801	-48	145	-31
13127129	-64	137	-40
13127457	-73	133	-24
13127785	-73	133	-38
13128113	-69	141	-34
13128441	-71	137	-18
13128769	-69	136	-28
13129097	-52	152	-33
13129425	-41	143	-32
13129753	-40	140	-24
13130081	-52	140	-32
13130409	-45	130	-25
13130737	-63	148	-24
13131065	-80	148	-33
13131393	-73	152	-21
13131721	-71	154	-31
13132049	-62	138	-32
13132377	-100	142	-29
13132705	-78	121	-23
13133033	-78	153	-43
13133361	-58	139	-48
13133689	-71	150	-31
13134017	-50	128	-30
13134345	-51	152	-21
13134673	-37	138	-24
13135001	-45	143	-36
13135329	-46	141	-22
13135657	-29	145	-32
13135985	-28	131	-35
13136313	-41	140	-28
13136641	-33	134	-40
13136969	-51	129	-52
13137297	-58	132	-26
13137625	-68	135	-32
13137953	-70	121	-33
13138281	-62	128	-40
13138609	-67	132	-31
13138937	-61	124	-34
13139265	-48	139	-25
13139593	-35	126	-27
13139921	-27	127	-19
13140249	-27	134	-33
13140577	-42	145	-26
13140905	-30	156	-34
13141233	-41	155	-18
13141561	-61	145	-21
13141889	-50	150	-19
13142217	-66	152	-15
13142545	-50	151	-26
13142873	-57	165	-20
13143201	-54	164	-14
13143529	-62	155	-15
13143857	-53	154	-28
13144185	-47	155	-15
13144513	-61	157	-25
13144841	-51	158	-22
13145169	-42	143	-31
13145497	-40	169	-23
13145825	-59	149	-8
13146153	-52	160	-16
13146481	-52	154	-23
13146809	-56	154	-20
13147137	-66	143	-5
13147465	-86	166	-1
13147793	-54	164	-11
13148121	-55	175	16
13148449	-72	162	5
13148777	-69	156	16
13149105	-41	185	8
13149433	-31	136	6
13149761	-38	163	11
13150089	-40	169	8
13150417	-51	160	13
13150745	-35	158	12
13151073	-61	151	8
13151401	-52	183	-5
13151729	-31	136	-3
13152057	-58	149	9
13152385	-55	149	-6
13152713	-52	164	12
13153041	-47	144	6
13153369	-34	160	-1
13153697	-37	156	-11
13154025	-41	144	-8
13154353	-55	150	-11
13154681	-61	153	-12
13155009	-81	150	-15
13155337	-74	161	-12
13155665	-86	158	-12
13155993	-83	154	-2
13156321	-83	168	-16
13156649	-78	161	-19
13156977	-74	146	-27
13157305	-61	157	-11
13157633	-58	160	-6
13157961	-32	156	-22
13158289	-40	142	-11
13158617	-38	155	-9
13158945	-35	151	-16
13159273	-45	154	-22
13159601	-36	148	-4
13159929	-61	159	-12
13160257	-67	154	-13
13160585	-73	159	-23
13160913	-64	148	-18
13161241	-74	155	-19
13161569	-69	150	-5
13161897	-82	153	-9
13162225	-69	150	-30
13162553	-53	148	-22
13162881	-28	135	-20
13163209	-39	129	-24
13163537	-45	138	-24
13163865	-42	136	-24
13164193	-47	146	-22
13164521	-49	126	-33
13164849	-48	135	-20
13165177	-41	129	-19
13165505	-52	147	-14
13165833	-61	136	-12
13166161	-51	137	-11
13166489	-52	153	-7
13166817	-50	150	-6
13167145	-34	146	-10
13167473	-31	157	-12
13167801	-34	142	-8
13168129	-30	155	-13
13168457	-36	161	-7
13168785	-43	160	-13
13169113	-43	164	-21
13169441	-30	159	-22
13169769	-52	159	-6
13170097	-38	172	-13
13170425	-66	146	-10
13170753	-53	143	-7
13171081	-59	159	-11
13171409	-54	155	-9
13171737	-47	155	-31
13172065	-37	149	-12
13172393	-39	147	-19
13172721	-42	146	-18
13173049	-37	150	-26
13173377	-46	155	-23
13173705	-51	152	-30
13174033	-59	143	-14
13174361	-66	157	-9
