Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
157302	118	90	29
157630	142	112	39
157958	104	88	19
158286	106	89	12
158614	90	58	8
158942	44	63	3
159270	45	55	-5
159598	6	69	-20
159926	-36	117	-12
160254	-42	117	-9
160582	-22	110	-16
160910	-10	115	-25
161238	19	113	-8
161566	30	106	-10
161894	30	99	-24
162222	17	92	-18
162550	-7	118	-17
162878	-28	151	-17
163206	-60	146	-31
163534	-87	130	-27
163862	-113	142	-27
164190	-134	145	-36
164518	-113	159	-36
164846	-104	158	-47
165174	-111	170	-42
165502	-130	147	-46
165830	-102	106	-50
166158	-93	132	-53
166486	-87	139	-75
166814	-107	122	-71
167142	-112	115	-65
167470	-123	143	-64
167798	-140	142	-82
168126	-185	164	-95
168454	-210	163	-101
168782	-242	153	-93
169110	-277	172	-109
169438	-273	148	-133
169766	-220	161	-126
170094	-194	184	-155
170422	-207	152	-152
170750	-235	184	-161
171078	-243	198	-165
171406	-224	179	-176
171734	-215	197	-196
172062	-220	222	-203
172390	-220	246	-219
172718	-216	213	-216
173046	-201	190	-212
173374	-170	186	-232
173702	-150	201	-235
174030	-153	216	-240
174358	-231	225	-254
174686	-271	269	-264
175014	-289	282	-264
175342	-266	230	-258
175670	-205	260	-248
175998	-166	237	-260
176326	-81	196	-261
176654	-109	198	-277
176982	-111	207	-276
177310	-98	272	-264
177638	-84	214	-280
177966	-65	122	-277
178294	-65	73	-296
178622	13	31	-285
178950	78	24	-291
179278	185	8	-297
179606	197	-29	-297
179934	125	-20	-309
180262	71	3	-275
180590	122	-71	-231
180918	93	-45	-223
181246	202	-25	-177
181574	234	-40	-157
181902	243	-27	-129
182230	182	-1	-98
182558	105	11	-67
182886	26	-9	-43
183214	-83	50	-31
183542	-79	38	-26
183870	-97	56	1
184198	-55	55	13
184526	-67	76	32
184854	-66	75	25
185182	-54	48	11
185510	-27	71	12
185838	-26	109	0
186166	34	93	-26
186494	34	74	-41
186822	81	101	-76
187150	194	85	-104
187478	340	61	-134
187806	552	96	-186
188134	781	106	-247
188462	1038	79	-298
188790	1284	85	-317
189118	1378	102	-318
189446	1351	143	-290
189774	1270	128	-246
190102	1138	148	-202
190430	1025	168	-178
190758	989	131	-167
191086	1016	34	-166
191414	1131	9	-161
191742	1254	-25	-145
192070	1313	-50	-130
192398	1304	9	-108
192726	1166	4	-87
193054	922	-50	-59
193382	719	-31	-24
193710	563	14	-23
194038	485	80	-10
194366	498	108	-16
194694	501	98	-16
195022	593	193	-26
195350	494	58	-18
195678	487	-24	-4
196006	532	-34	-28
196334	559	-50	-49
196662	563	-26	-69
196990	506	18	-115
197318	408	24	-119
197646	293	39	-142
197974	164	153	-175
198302	83	151	-207
198630	21	127	-232
198958	-52	117	-256
199286	-128	146	-299
199614	-232	205	-347
199942	-301	175	-363
200270	-306	235	-401
200598	-307	275	-456
200926	-269	255	-476
201254	-202	230	-494
201582	-266	273	-559
201910	-291	308	-498
202238	-398	328	-593
202566	-441	366	-581
202894	-493	371	-565
203222	-439	307	-543
203550	-440	284	-497
203878	-380	244	-472
204206	-347	198	-442
204534	-249	126	-355
204862	-226	156	-361
205190	-196	130	-318
205518	-188	93	-245
205846	-223	124	-199
206174	-304	125	-148
206502	-390	151	-96
206830	-473	198	-45
207158	-532	169	-13
207486	-547	154	23
207814	-525	129	49
208142	-465	92	64
208470	-406	79	72
208798	-333	80	88
209126	-278	74	91
209454	-224	37	96
209782	-159	14	113
210110	-161	17	98
210438	-153	5	122
210766	-133	20	144
211094	-134	42	146
211422	-192	63	135
211750	-222	55	140
212078	-250	82	141
212406	-293	93	127
212734	-324	125	121
213062	-367	124	115
213390	-402	143	97
213718	-407	118	100
214046	-386	129	78
214374	-375	134	82
214702	-342	112	69
215030	-309	124	62
215358	-206	236	90
215686	-280	149	28
216014	-288	113	5
216342	-211	123	-5
216670	-199	145	-24
216998	-184	140	-39
217326	-146	119	-66
217654	-112	96	-62
217982	-60	105	-74
218310	-11	75	-69
218638	12	92	-72
218966	40	115	-93
219294	92	83	-71
219622	115	63	-64
219950	104	81	-59
220278	120	48	-34
220606	175	57	-14
220934	193	29	-15
221262	217	32	10
221590	198	8	26
221918	178	15	51
222246	114	28	64
222574	66	59	91
222902	39	56	123
223230	-7	66	119
223558	-8	29	146
223886	33	30	169
224214	80	27	168
224542	171	25	184
224870	266	-21	172
225198	293	10	191
225526	314	-22	183
225854	340	-80	174
226182	386	-55	205
226510	379	-5	206
226838	294	-12	184
227166	245	31	175
227494	120	55	166
227822	88	57	150
228150	77	64	149
228478	74	43	138
228806	77	48	118
229134	136	24	129
229462	152	1	104
229790	201	-15	121
230118	238	-76	122
230446	254	-79	109
230774	241	-66	90
231102	166	-36	85
231430	106	-1	96
231758	1	36	72
232086	-30	80	64
232414	-101	107	28
232742	-136	90	12
233070	-188	91	0
233398	-191	158	-1
233726	-167	128	-9
234054	-204	120	-44
234382	-200	131	-78
234710	-115	112	-85
235038	-17	99	-103
235366	54	116	-110
235694	99	100	-124
236022	152	92	-135
236350	170	104	-144
236678	184	56	-149
237006	233	34	-154
237334	294	21	-146
237662	331	14	-152
237990	304	29	-155
238318	265	32	-143
238646	226	51	-115
238974	168	24	-97
239302	65	49	-76
239630	9	60	-57
239958	23	48	-42
240286	11	65	-32
240614	-34	51	-38
240942	-60	61	-29
241270	-47	49	-8
241598	-61	53	-8
241926	-32	40	-7
242254	-21	38	-18
242582	2	37	-6
242910	-11	41	-23
243238	32	43	-25
243566	-3	62	-36
243894	-11	28	-28
244222	-66	105	-46
244550	-75	64	-56
244878	-76	77	-58
245206	-60	69	-76
245534	-47	56	-79
245862	-18	70	-95
246190	-27	87	-99
246518	-38	90	-99
246846	-61	105	-91
247174	-66	125	-82
247502	-99	130	-91
247830	-88	149	-87
248158	-57	125	-70
248486	-47	137	-64
248814	-25	136	-69
249142	7	95	-60
249470	35	101	-65
249798	19	113	-64
250126	21	96	-65
250454	12	109	-62
250782	-7	104	-62
251110	-60	116	-69
251438	-70	147	-79
251766	-75	155	-72
252094	-98	150	-88
252422	-120	150	-81
252750	-129	177	-102
253078	-169	182	-99
253406	-161	182	-102
253734	-151	162	-94
254062	-147	169	-84
