Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
11433009	-64	109	18
11433337	-50	119	6
11433665	-29	117	-1
11433993	-34	114	-5
11434321	-40	117	1
11434649	-66	114	4
11434977	-68	114	12
11435305	-73	120	-5
11435633	-62	109	0
11435961	-71	109	-11
11436289	-60	93	-13
11436617	-80	86	16
11436945	-81	110	8
11437273	-90	95	-11
11437601	-86	114	2
11437929	-107	104	8
11438257	-115	101	0
11438585	-123	91	-4
11438913	-122	120	-1
11439241	-98	97	-1
11439569	-112	105	-11
11439897	-107	110	-11
11440225	-112	105	-21
11440553	-114	102	-8
11440881	-116	115	-17
11441209	-95	121	-6
11441537	-74	111	8
11441865	-54	117	0
11442193	-70	118	0
11442521	-68	128	-15
11442849	-85	135	-6
11443177	-117	119	-7
11443505	-117	113	12
11443833	-119	137	-11
11444161	-102	129	-10
11444489	-89	136	-21
11444817	-74	139	-7
11445145	-70	127	-16
11445473	-70	134	-9
11445801	-80	134	-7
11446129	-65	143	-7
11446457	-62	131	-13
11446785	-65	131	-10
11447113	-42	134	-4
11447441	-37	125	-3
11447769	-63	137	-9
11448097	-50	130	-7
11448425	-56	141	-12
11448753	-58	120	-23
11449081	-61	124	-27
11449409	-64	130	-17
11449737	-72	129	-20
11450065	-84	119	-8
11450393	-81	139	-16
11450721	-89	132	-18
11451049	-78	118	-8
11451377	-79	126	-22
11451705	-79	132	-2
11452033	-79	115	-9
11452361	-84	107	-1
11452689	-63	115	6
11453017	-56	127	1
11453345	-42	109	10
11453673	-16	142	-18
11454001	-28	130	-12
11454329	-38	136	0
11454657	-46	131	-16
11454985	-61	143	-9
11455313	-60	136	-14
11455641	-68	133	-11
11455969	-69	136	-13
11456297	-62	137	-11
11456625	-49	140	-6
11456953	-54	124	-4
11457281	-54	124	-3
11457609	-54	124	-6
11457937	-51	121	-8
11458265	-64	129	-7
11458593	-80	127	-8
11458921	-63	122	0
11459249	-77	116	7
11459577	-73	117	1
11459905	-82	111	-9
11460233	-80	109	-2
11460561	-82	107	13
11460889	-91	102	11
11461217	-116	118	8
11461545	-103	94	4
11461873	-94	97	-7
11462201	-97	113	-6
11462529	-93	109	5
11462857	-66	101	21
11463185	-73	115	8
11463513	-81	105	-8
11463841	-80	118	14
11464169	-100	123	7
11464497	-111	117	-7
11464825	-114	118	-14
11465153	-111	125	-13
11465481	-98	121	-4
11465809	-97	115	2
11466137	-87	111	-14
11466465	-90	113	-15
11466793	-100	122	-9
11467121	-96	113	-16
11467449	-105	127	-15
11467777	-97	133	-8
11468105	-93	124	-11
11468433	-76	125	-12
11468761	-80	127	-25
11469089	-67	127	-30
11469417	-89	155	-19
11469745	-89	137	-19
11470073	-88	132	-9
11470401	-93	140	-20
11470729	-86	132	-22
11471057	-69	125	-33
11471385	-51	139	-16
11471713	-46	137	-29
11472041	-48	150	-33
11472369	-73	130	-14
11472697	-63	124	-6
11473025	-68	129	-27
11473353	-51	125	-19
11473681	-70	131	-40
11474009	-58	138	-34
11474337	-61	122	-29
11474665	-63	127	-35
11474993	-72	139	-34
11475321	-59	127	-35
11475649	-76	136	-41
11475977	-63	125	-26
11476305	-81	131	-16
11476633	-67	137	-18
11476961	-50	137	-9
11477289	-58	134	-17
11477617	-24	128	-23
11477945	-29	137	-14
11478273	-19	134	-20
11478601	-42	133	-17
11478929	-49	140	-8
11479257	-52	151	-20
11479585	-40	151	-14
11479913	-47	131	-22
11480241	-58	145	-32
11480569	-30	148	-32
11480897	-36	133	-36
11481225	-42	132	-42
11481553	-59	139	-38
11481881	-74	146	-40
11482209	-80	142	-37
11482537	-83	118	-45
11482865	-86	133	-43
11483193	-68	136	-32
11483521	-75	122	-33
11483849	-59	115	-37
11484177	-53	128	-33
11484505	-60	136	-28
11484833	-68	133	-35
11485161	-80	123	-33
11485489	-84	122	-26
11485817	-82	118	-18
11486145	-82	130	-15
11486473	-49	138	-21
11486801	-49	126	-27
11487129	-45	130	-38
11487457	-49	126	-36
11487785	-54	136	-28
11488113	-65	148	-40
11488441	-67	129	-57
11488769	-81	136	-48
11489097	-91	148	-58
11489425	-94	129	-61
11489753	-86	141	-50
11490081	-105	146	-59
11490409	-80	142	-54
11490737	-88	148	-54
11491065	-80	139	-58
11491393	-73	142	-57
11491721	-89	131	-63
11492049	-91	135	-53
11492377	-85	150	-49
11492705	-77	137	-53
11493033	-77	145	-49
11493361	-77	145	-49
11493689	-67	165	-49
11494017	-67	139	-32
11494345	-72	136	-49
11494673	-85	139	-49
11495001	-107	154	-45
11495329	-99	147	-57
11495657	-98	140	-56
11495985	-99	139	-49
11496313	-69	146	-51
11496641	-46	153	-60
11496969	-37	152	-47
11497297	-30	154	-50
11497625	-38	164	-55
11497953	-26	162	-46
11498281	-26	165	-50
11498609	-17	157	-63
11498937	-25	157	-59
11499265	-39	146	-65
11499593	-59	146	-49
11499921	-58	141	-53
11500249	-57	137	-40
11500577	-55	161	-61
11500905	-50	142	-55
11501233	-63	166	-61
11501561	-62	157	-68
11501889	-75	152	-58
11502217	-98	156	-53
11502545	-65	146	-50
11502873	-53	141	-50
11503201	-49	134	-54
11503529	-55	143	-58
11503857	-52	141	-32
11504185	-64	142	-38
11504513	-62	158	-36
11504841	-54	137	-43
11505169	-66	133	-28
11505497	-57	136	-43
11505825	-39	135	-28
11506153	-40	147	-33
11506481	-36	146	-33
11506809	-57	151	-36
11507137	-31	154	-44
11507465	-41	136	-41
11507793	-38	141	-47
11508121	-52	142	-43
11508449	-62	139	-48
11508777	-57	143	-46
11509105	-68	147	-52
11509433	-67	151	-44
11509761	-49	145	-56
11510089	-56	127	-47
11510417	-55	132	-39
11510745	-56	144	-51
11511073	-51	144	-40
11511401	-39	140	-55
11511729	-27	134	-35
11512057	-37	148	-33
11512385	-38	132	-37
11512713	-55	131	-18
11513041	-51	142	-23
11513369	-66	148	-38
11513697	-59	158	-40
11514025	-58	154	-46
11514353	-59	148	-44
11514681	-74	144	-40
11515009	-79	153	-31
11515337	-67	140	-44
11515665	-82	137	-41
11515993	-68	145	-41
11516321	-45	151	-42
11516649	-55	136	-56
11516977	-52	138	-62
11517305	-60	148	-65
11517633	-70	127	-55
11517961	-82	138	-44
