Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
11937395	-54	160	-38
11937723	-56	154	-45
11938051	-44	159	-43
11938379	-48	164	-44
11938707	-41	159	-24
11939035	-40	141	-39
11939363	-31	169	-45
11939691	-26	160	-41
11940019	-29	144	-43
11940347	-26	165	-37
11940675	-30	153	-42
11941003	-29	155	-43
11941331	-46	156	-44
11941659	-48	164	-35
11941987	-59	155	-39
11942315	-52	145	-41
11942643	-47	157	-57
11942971	-36	152	-43
11943299	-26	138	-54
11943627	-39	133	-41
11943955	-47	154	-38
11944283	-29	150	-46
11944611	-29	167	-47
11944939	-27	146	-29
11945267	-25	147	-40
11945595	-9	142	-36
11945923	-25	156	-44
11946251	-51	150	-43
11946579	-44	149	-43
11946907	-42	150	-49
11947235	-31	148	-48
11947563	-37	151	-51
11947891	-43	144	-49
11948219	-48	159	-52
11948547	-44	156	-51
11948875	-39	142	-44
11949203	-44	158	-40
11949531	-29	155	-43
11949859	-35	148	-40
11950187	-40	154	-45
11950515	-26	160	-48
11950843	-14	141	-50
11951171	-19	135	-54
11951499	-22	148	-43
11951827	-37	147	-51
11952155	-52	142	-55
11952483	-52	135	-62
11952811	-40	147	-43
11953139	-42	132	-43
11953467	-47	137	-46
11953795	-38	148	-57
11954123	-25	133	-51
11954451	-24	136	-51
11954779	-41	138	-58
11955107	-45	146	-62
11955435	-63	143	-44
11955763	-49	144	-48
11956091	-48	138	-52
11956419	-44	139	-49
11956747	-36	128	-39
11957075	-39	142	-41
11957403	-46	133	-41
11957731	-33	144	-56
11958059	-41	149	-58
11958387	-53	144	-46
11958715	-58	163	-41
11959043	-58	144	-38
11959371	-65	160	-48
11959699	-58	153	-38
11960027	-46	157	-38
11960355	-45	146	-43
11960683	-33	161	-46
11961011	-59	142	-39
11961339	-42	165	-28
11961667	-39	159	-36
11961995	-29	159	-30
11962323	-42	166	-34
11962651	-34	151	-32
11962979	-41	152	-39
11963307	-63	150	-46
11963635	-72	141	-29
11963963	-60	140	-37
11964291	-53	146	-42
11964619	-67	148	-34
11964947	-55	132	-30
11965275	-67	129	-36
11965603	-69	152	-32
11965931	-66	137	-35
11966259	-55	144	-41
11966587	-44	128	-40
11966915	-39	153	-45
11967243	-39	128	-38
11967571	-44	125	-47
11967899	-35	138	-32
11968227	-54	138	-38
11968555	-43	137	-50
11968883	-38	129	-43
11969211	-52	129	-40
11969539	-48	116	-34
11969867	-38	132	-33
11970195	-43	121	-33
11970523	-41	121	-36
11970851	-42	125	-38
11971179	-50	102	-36
11971507	-53	146	-33
11971835	-44	114	-33
11972163	-30	117	-37
11972491	-19	121	-22
11972819	-27	124	-26
11973147	-15	130	-41
11973475	-7	124	-27
11973803	-11	139	-27
11974131	-3	136	-22
11974459	-14	135	-28
11974787	-30	141	-34
11975115	-21	137	-32
11975443	-38	133	-41
11975771	-19	132	-30
11976099	-28	119	-32
11976427	-43	135	-30
11976755	-26	126	-30
11977083	-30	142	-30
11977411	-37	137	-21
11977739	-35	142	-28
11978067	-46	129	-21
11978395	-46	145	-27
11978723	-31	119	-16
11979051	-42	126	-25
11979379	-48	120	-33
11979707	-40	131	-35
11980035	-72	117	-17
11980363	-51	121	-20
11980691	-51	129	-21
11981019	-70	129	-33
11981347	-56	135	-22
11981675	-40	125	-19
11982003	-44	124	-21
11982331	-28	143	-27
11982659	-41	141	-26
11982987	-25	155	-28
11983315	-49	153	-28
11983643	-54	148	-20
11983971	-63	158	-29
11984299	-46	155	-29
11984627	-58	141	-26
11984955	-78	148	-22
11985283	-72	153	-23
11985611	-60	154	-13
11985939	-48	158	-14
11986267	-63	143	-17
11986595	-66	133	-22
11986923	-55	128	-21
11987251	-59	129	-24
11987579	-62	129	-21
11987907	-46	129	-19
11988235	-57	128	-20
11988563	-64	138	-25
11988891	-71	138	-26
11989219	-64	132	-21
11989547	-62	121	-26
11989875	-46	134	-13
11990203	-76	146	-10
11990531	-86	110	-29
11990859	-52	125	-24
11991187	-70	113	-22
11991515	-68	130	-22
11991843	-72	118	-4
11992171	-74	127	-13
11992499	-71	126	-15
11992827	-90	138	2
11993155	-86	121	-8
11993483	-58	129	-11
11993811	-55	127	-16
11994139	-57	126	0
11994467	-66	122	-5
11994795	-71	121	-2
11995123	-67	114	1
11995451	-53	120	-4
11995779	-51	115	1
11996107	-82	114	1
11996435	-76	117	10
11996763	-71	136	13
11997091	-66	109	-2
11997419	-70	108	-2
11997747	-82	133	12
11998075	-108	111	12
11998403	-97	114	-8
11998731	-99	115	19
11999059	-77	110	18
11999387	-74	121	15
11999715	-70	112	19
12000043	-87	107	22
12000371	-88	111	33
12000699	-76	97	26
12001027	-64	91	27
12001355	-74	91	38
12001683	-73	97	47
12002011	-81	101	43
12002339	-76	89	37
12002667	-84	80	43
12002995	-69	80	58
12003323	-90	96	51
12003651	-95	90	51
12003979	-108	95	54
12004307	-104	88	48
12004635	-95	101	57
12004963	-107	104	64
12005291	-102	95	68
12005619	-89	107	77
12005947	-90	102	79
12006275	-69	92	75
12006603	-75	101	73
12006931	-86	94	80
12007259	-102	86	93
12007587	-126	105	89
12007915	-135	120	103
12008243	-153	108	100
12008571	-148	107	101
12008899	-133	123	113
12009227	-150	131	112
12009555	-164	128	113
12009883	-156	117	124
12010211	-153	130	113
12010539	-146	108	118
12010867	-132	117	132
12011195	-112	115	127
12011523	-91	114	130
12011851	-56	117	133
12012179	-60	126	141
12012507	-70	109	124
12012835	-79	130	131
12013163	-92	116	127
12013491	-99	112	124
12013819	-90	108	134
12014147	-97	113	127
12014475	-89	109	124
12014803	-88	113	112
12015131	-98	106	117
12015459	-99	109	107
12015787	-123	82	99
12016115	-98	111	93
12016443	-86	89	97
12016771	-71	111	83
12017099	-81	106	69
12017427	-82	93	74
12017755	-74	110	72
12018083	-91	98	66
12018411	-105	111	71
12018739	-112	115	60
12019067	-105	118	62
12019395	-86	92	57
12019723	-88	122	56
12020051	-107	122	62
12020379	-117	107	56
12020707	-113	111	58
12021035	-104	104	61
12021363	-103	110	57
12021691	-98	115	49
12022019	-101	104	34
12022347	-93	106	57
12022675	-63	103	50
12023003	-58	110	43
12023331	-64	111	49
12023659	-57	113	51
12023987	-59	112	68
