Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
6541886	-105	126	5
6542214	-109	137	6
6542542	-79	137	2
6542870	-56	132	-15
6543198	-70	131	-7
6543526	-81	133	-8
6543854	-89	135	-2
6544182	-83	134	-11
6544510	-89	132	-14
6544838	-84	143	-11
6545166	-86	141	-16
6545494	-58	142	0
6545822	-51	136	-11
6546150	-58	135	-19
6546478	-69	143	-27
6546806	-77	141	-16
6547134	-74	148	-14
6547462	-77	147	-25
6547790	-81	145	-31
6548118	-87	146	-30
6548446	-97	145	-29
6548774	-87	150	-17
6549102	-62	140	-24
6549430	-81	138	-35
6549758	-58	138	-22
6550086	-78	153	-33
6550414	-93	146	-22
6550742	-84	152	-28
6551070	-99	151	-26
6551398	-98	149	-25
6551726	-88	146	-23
6552054	-87	145	-23
6552382	-93	139	-32
6552710	-88	132	-16
6553038	-82	136	-21
6553366	-84	140	-21
6553694	-67	137	-29
6554022	-51	140	-22
6554350	-66	152	-40
6554678	-55	135	-27
6555006	-50	140	-23
6555334	-51	140	-32
6555662	-71	137	-27
6555990	-93	150	-31
6556318	-90	137	-20
6556646	-88	138	-39
6556974	-89	139	-39
6557302	-70	138	-40
6557630	-84	136	-30
6557958	-75	131	-34
6558286	-76	138	-28
6558614	-67	136	-38
6558942	-66	142	-37
6559270	-71	139	-40
6559598	-65	146	-33
6559926	-59	148	-39
6560254	-56	137	-30
6560582	-66	145	-19
6560910	-61	151	-30
6561238	-55	144	-22
6561566	-67	143	-29
6561894	-62	143	-31
6562222	-59	151	-16
6562550	-67	125	-33
6562878	-61	135	-38
6563206	-58	140	-36
6563534	-61	142	-35
6563862	-47	155	-25
6564190	-36	148	-27
6564518	-38	137	-23
6564846	-41	142	-29
6565174	-55	141	-28
6565502	-47	153	-23
6565830	-74	128	-18
6566158	-67	141	-27
6566486	-44	142	-21
6566814	-34	136	-28
6567142	-34	141	-28
6567470	-59	138	-27
6567798	-60	134	-24
6568126	-71	122	-16
6568454	-83	133	-17
6568782	-63	136	-21
6569110	-77	130	-44
6569438	-74	136	-39
6569766	-69	132	-27
6570094	-72	132	-33
6570422	-78	136	-32
6570750	-90	146	-46
6571078	-72	143	-50
6571406	-69	132	-36
6571734	-88	141	-49
6572062	-71	151	-44
6572390	-63	142	-47
6572718	-68	139	-43
6573046	-47	126	-51
6573374	-55	148	-42
6573702	-37	147	-38
6574030	-55	143	-58
6574358	-61	149	-40
6574686	-45	134	-41
6575014	-61	146	-49
6575342	-80	141	-51
6575670	-84	140	-48
6575998	-106	134	-48
6576326	-98	141	-47
6576654	-81	134	-49
6576982	-76	129	-44
6577310	-63	136	-55
6577638	-51	145	-45
6577966	-43	147	-49
6578294	-30	145	-51
6578622	-39	139	-58
6578950	-42	150	-66
6579278	-61	139	-59
6579606	-54	158	-55
6579934	-45	152	-70
6580262	-61	141	-79
6580590	-59	139	-57
6580918	-68	141	-61
6581246	-77	145	-60
6581574	-71	136	-56
6581902	-70	143	-66
6582230	-64	138	-65
6582558	-65	148	-61
6582886	-67	130	-65
6583214	-64	144	-62
6583542	-70	143	-70
6583870	-77	131	-61
6584198	-81	153	-73
6584526	-81	133	-56
6584854	-90	143	-67
6585182	-93	140	-74
6585510	-96	139	-59
6585838	-106	124	-56
6586166	-102	131	-59
6586494	-92	139	-60
6586822	-71	130	-57
6587150	-68	139	-60
6587478	-61	141	-76
6587806	-62	152	-70
6588134	-56	146	-68
6588462	-77	149	-53
6588790	-76	147	-42
6589118	-70	151	-58
6589446	-62	137	-57
6589774	-89	126	-51
6590102	-103	125	-50
6590430	-97	122	-41
6590758	-67	137	-46
6591086	-50	135	-47
6591414	-47	138	-51
6591742	-58	132	-44
6592070	-61	122	-33
6592398	-64	132	-48
6592726	-64	133	-37
6593054	-61	136	-52
6593382	-82	133	-43
6593710	-70	138	-47
6594038	-86	122	-44
6594366	-97	126	-35
6594694	-112	136	-51
6595022	-101	135	-47
6595350	-98	138	-49
6595678	-67	137	-40
6596006	-65	142	-57
6596334	-45	150	-50
6596662	-49	149	-61
6596990	-65	144	-49
6597318	-58	144	-42
6597646	-70	138	-51
6597974	-69	147	-45
6598302	-64	145	-42
6598630	-73	141	-55
6598958	-68	140	-41
6599286	-66	147	-47
6599614	-82	146	-55
6599942	-88	115	-49
6600270	-75	138	-36
6600598	-68	132	-40
6600926	-55	125	-48
6601254	-54	131	-49
6601582	-43	128	-50
6601910	-61	139	-42
6602238	-67	130	-43
6602566	-66	131	-47
6602894	-87	131	-50
6603222	-77	125	-40
6603550	-81	127	-50
6603878	-81	124	-53
6604206	-92	125	-39
6604534	-76	148	-48
6604862	-80	122	-47
6605190	-81	143	-42
6605518	-86	133	-43
6605846	-79	118	-45
6606174	-72	133	-39
6606502	-54	139	-55
6606830	-46	147	-49
6607158	-61	132	-41
6607486	-73	135	-42
6607814	-83	136	-46
6608142	-70	137	-40
6608470	-88	131	-49
6608798	-88	120	-42
6609126	-74	132	-49
6609454	-97	141	-44
6609782	-70	130	-43
6610110	-72	137	-50
6610438	-64	147	-44
6610766	-69	136	-54
6611094	-71	133	-38
6611422	-66	140	-46
6611750	-66	140	-43
6612078	-72	136	-34
6612406	-76	136	-49
6612734	-81	142	-43
6613062	-93	136	-39
6613390	-76	143	-36
6613718	-80	133	-42
6614046	-100	122	-41
6614374	-79	119	-32
6614702	-72	135	-22
6615030	-64	132	-32
6615358	-67	124	-29
6615686	-68	133	-32
6616014	-60	124	-24
6616342	-90	120	-21
6616670	-101	121	-17
6616998	-97	114	-18
6617326	-91	126	-24
6617654	-80	112	-24
6617982	-96	116	-19
6618310	-99	133	-20
6618638	-88	130	-16
6618966	-94	133	-30
6619294	-107	128	-16
6619622	-85	131	-28
6619950	-91	130	-17
6620278	-84	137	-21
6620606	-83	125	-14
6620934	-76	131	-18
6621262	-81	131	-15
6621590	-55	131	-20
6621918	-70	135	-12
6622246	-77	138	-30
6622574	-71	127	-19
6622902	-85	133	-17
6623230	-81	135	-14
6623558	-98	132	-6
6623886	-88	140	-9
6624214	-88	137	-23
6624542	-67	122	-31
6624870	-81	119	-18
6625198	-68	114	-25
6625526	-81	126	-16
6625854	-75	132	-13
6626182	-84	125	-18
