Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
1768439	-75	172	10
1768767	-60	167	22
1769095	-39	179	23
1769423	-14	175	17
1769751	16	174	26
1770079	18	175	27
1770407	27	178	30
1770735	41	178	27
1771063	9	173	29
1771391	3	184	36
1771719	-15	177	37
1772047	-29	172	32
1772375	-17	164	39
1772703	-10	159	47
1773031	-18	173	35
1773359	-33	167	21
1773687	-57	176	28
1774015	-43	189	32
1774343	-27	188	21
1774671	-17	193	22
1774999	-5	174	12
1775327	0	176	9
1775655	-13	171	1
1775983	-20	173	7
1776311	-41	169	-4
1776639	-54	161	-9
1776967	-59	165	-21
1777295	-77	166	-26
1777623	-77	165	-27
1777951	-75	164	-39
1778279	-105	154	-39
1778607	-88	151	-33
1778935	-97	170	-42
1779263	-91	154	-41
1779591	-91	167	-44
1779919	-112	155	-43
1780247	-82	141	-34
1780575	-115	165	-46
1780903	-90	158	-42
1781231	-149	153	-44
1781559	-146	149	-48
1781887	-174	154	-53
1782215	-186	146	-50
1782543	-169	136	-41
1782871	-191	133	-49
1783199	-207	141	-36
1783527	-172	124	-37
1783855	-181	138	-30
1784183	-161	128	-34
1784511	-153	133	-42
1784839	-109	126	-46
1785167	-82	154	-46
1785495	-72	141	-54
1785823	-39	135	-68
1786151	-10	121	-59
1786479	-5	112	-79
1786807	14	118	-69
1787135	18	120	-66
1787463	85	165	-131
1787791	71	130	-99
1788119	56	126	-74
1788447	57	143	-92
1788775	39	114	-85
1789103	-3	126	-79
1789431	-18	121	-67
1789759	-47	131	-49
1790087	-55	107	-74
1790415	-49	125	-66
1790743	-73	122	-75
1791071	-65	126	-71
1791399	-58	117	-74
1791727	-53	118	-60
1792055	-63	114	-60
1792383	-78	123	-67
1792711	-57	113	-71
1793039	-55	107	-74
1793367	-45	111	-74
1793695	-19	110	-62
1794023	-26	135	-72
1794351	0	132	-78
1794679	-8	129	-70
1795007	-11	119	-66
1795335	-59	134	-69
1795663	-105	135	-70
1795991	-148	117	-72
1796319	-149	123	-57
1796647	-171	104	-62
1796975	-167	113	-66
1797303	-171	114	-62
1797631	-169	121	-53
1797959	-185	104	-54
1798287	-199	97	-37
1798615	-195	113	-54
1798943	-211	119	-58
1799271	-204	125	-63
1799599	-177	131	-58
1799927	-159	121	-58
1800255	-123	132	-70
1800583	-118	145	-67
1800911	-142	131	-62
1801239	-144	131	-67
1801567	-137	139	-76
1801895	-137	143	-78
1802223	-109	150	-70
1802551	-118	128	-80
1802879	-100	140	-86
1803207	-74	143	-89
1803535	-106	127	-86
1803863	-73	138	-108
1804191	-95	130	-90
1804519	-110	161	-94
1804847	-114	138	-98
1805175	-139	136	-112
1805503	-125	132	-120
1805831	-142	132	-117
1806159	-147	140	-130
1806487	-154	156	-132
1806815	-209	150	-142
1807143	-207	137	-132
1807471	-202	157	-139
1807799	-186	136	-136
1808127	-169	134	-126
1808455	-142	136	-133
1808783	-116	137	-135
1809111	-109	150	-109
1809439	-91	143	-97
1809767	-73	145	-112
1810095	-81	139	-94
1810423	-88	128	-90
1810751	-104	127	-76
1811079	-127	124	-74
1811407	-142	116	-72
1811735	-128	123	-75
1812063	-117	157	-77
1812391	-86	135	-52
1812719	-81	141	-53
1813047	-57	155	-72
1813375	-66	158	-56
1813703	-46	159	-49
1814031	-66	145	-65
1814359	-69	167	-46
1814687	-76	161	-52
1815015	-97	155	-47
1815343	-88	142	-53
1815671	-94	152	-60
1815999	-128	146	-51
1816327	-128	143	-49
1816655	-129	145	-44
1816983	-120	149	-48
1817311	-125	147	-33
1817639	-104	148	-46
1817967	-84	148	-33
1818295	-75	150	-22
1818623	-50	149	-42
1818951	-32	150	-37
1819279	-14	160	-33
1819607	-24	149	-35
1819935	-81	163	-40
1820263	-104	160	-28
1820591	-137	144	-30
1820919	-144	159	-50
1821247	-135	171	-46
1821575	-111	159	-45
1821903	-81	160	-46
1822231	-85	169	-50
1822559	-77	167	-40
1822887	-58	167	-44
1823215	-77	163	-53
1823543	-72	177	-38
1823871	-86	183	-57
1824199	-81	179	-48
1824527	-60	172	-42
1824855	-57	181	-53
1825183	-51	171	-43
1825511	-64	173	-48
1825839	-77	183	-32
1826167	-94	174	-42
1826495	-108	166	-42
1826823	-105	174	-42
1827151	-91	179	-48
1827479	-101	183	-38
1827807	-116	189	-48
1828135	-115	191	-53
1828463	-114	186	-47
1828791	-122	184	-43
1829119	-94	174	-64
1829447	-91	202	-64
1829775	-79	195	-58
1830103	-71	187	-70
1830431	-71	187	-63
1830759	-91	183	-64
1831087	-93	176	-64
1831415	-123	185	-65
1831743	-138	182	-80
1832071	-121	185	-82
1832399	-102	174	-83
1832727	-104	164	-83
1833055	-100	175	-81
1833383	-97	176	-81
1833711	-94	160	-73
1834039	-115	158	-71
1834367	-107	157	-92
1834695	-145	167	-73
1835023	-145	181	-85
1835351	-155	163	-87
1835679	-169	190	-74
1836007	-164	178	-69
1836335	-163	159	-67
1836663	-144	162	-68
1836991	-113	164	-73
1837319	-120	169	-54
1837647	-114	153	-52
1837975	-112	156	-59
1838303	-99	138	-52
1838631	-94	166	-45
1838959	-72	154	-39
1839287	-66	161	-32
1839615	-53	141	-36
1839943	-34	131	-45
1840271	-39	117	-37
1840599	-59	121	-38
1840927	-71	127	-37
1841255	-66	127	-28
1841583	-55	117	-42
1841911	-74	120	-39
1842239	-83	116	-41
1842567	-83	111	-27
1842895	-81	126	-31
1843223	-77	107	-30
1843551	-67	106	-30
1843879	-26	104	-27
1844207	-8	110	-22
1844535	15	121	-31
1844863	-2	113	-31
1845191	-8	114	-22
1845519	-41	104	-21
1845847	-51	89	-19
1846175	-62	93	-18
1846503	-83	107	-16
1846831	-93	89	-20
1847159	-78	89	-26
1847487	-78	96	-23
1847815	-71	118	-28
1848143	-66	103	-19
1848471	-27	113	-30
1848799	9	115	-34
1849127	16	116	-30
1849455	13	111	-29
1849783	17	95	-21
1850111	18	111	-37
1850439	-30	102	-27
1850767	-60	96	-21
1851095	-76	106	-28
1851423	-96	100	-21
1851751	-92	107	-20
1852079	-93	104	-13
1852407	-70	105	-20
1852735	-58	103	-26
1853063	-54	106	-21
1853391	-46	107	-13
1853719	-50	105	-19
