Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
12849126	-72	142	-33
12849454	-61	123	-41
12849782	-43	131	-37
12850110	-37	124	-33
12850438	-23	127	-37
12850766	-15	132	-23
12851094	-24	139	-30
12851422	-24	134	-23
12851750	-51	146	-17
12852078	-51	136	-20
12852406	-64	144	-26
12852734	-38	157	-25
12853062	-41	157	-31
12853390	-31	157	-21
12853718	-30	138	-26
12854046	-34	147	-17
12854374	-45	149	-9
12854702	-54	156	-13
12855030	-66	158	-18
12855358	-76	148	-22
12855686	-73	167	-23
12856014	-73	157	-28
12856342	-62	141	-22
12856670	-72	159	-18
12856998	-76	145	-16
12857326	-94	148	-25
12857654	-81	136	-21
12857982	-97	148	-31
12858310	-88	149	-28
12858638	-82	150	-27
12858966	-72	147	-25
12859294	-60	144	-21
12859622	-61	157	-22
12859950	-52	137	-18
12860278	-46	137	-26
12860606	-51	142	-17
12860934	-53	148	-11
12861262	-56	146	-13
12861590	-56	141	-14
12861918	-59	162	-19
12862246	-58	152	-17
12862574	-61	140	-22
12862902	-54	149	-17
12863230	-54	144	-24
12863558	-51	134	-21
12863886	-41	141	-32
12864214	-32	137	-24
12864542	-41	126	-27
12864870	-37	131	-25
12865198	-38	139	-14
12865526	-50	140	-28
12865854	-41	142	-24
12866182	-39	133	-26
12866510	-34	144	-11
12866838	-37	132	-21
12867166	-39	145	-26
12867494	-36	130	-17
12867822	-38	142	-17
12868150	-30	142	-34
12868478	-29	130	-22
12868806	-26	134	-28
12869134	-24	140	-23
12869462	-29	133	-23
12869790	-17	142	-18
12870118	-26	140	-20
12870446	-26	140	-20
12870774	-30	154	-15
12871102	-18	155	-22
12871430	-9	143	-21
12871758	-14	148	-18
12872086	-36	145	-14
12872414	-48	168	-18
12872742	-76	162	-20
12873070	-86	159	-26
12873398	-78	152	-38
12873726	-82	170	-51
12874054	-113	161	-54
12874382	-124	169	-58
12874710	-143	176	-78
12875038	-152	135	-74
12875366	-166	127	-84
12875694	-162	123	-78
12876022	-143	119	-73
12876350	-96	123	-74
12876678	-67	122	-68
12877006	-57	128	-46
12877334	-51	130	-32
12877662	-44	119	-34
12877990	-18	115	-33
12878318	4	113	-17
12878646	30	117	2
12878974	74	105	17
12879302	92	111	19
12879630	121	107	21
12879958	117	128	34
12880286	124	121	31
12880614	129	120	41
12880942	129	122	44
12881270	132	103	50
12881598	138	112	33
12881926	157	100	36
12882254	161	124	25
12882582	142	134	29
12882910	129	109	35
12883238	81	118	18
12883566	54	109	14
12883894	47	105	18
12884222	25	121	9
12884550	17	111	13
12884878	10	117	10
12885206	4	107	17
12885534	-23	115	8
12885862	-33	113	15
12886190	-59	102	11
12886518	-71	90	29
12886846	-39	111	29
12887174	-33	96	17
12887502	-41	115	16
12887830	-17	123	33
12888158	-22	102	21
12888486	-26	104	30
12888814	-33	99	25
12889142	-41	109	44
12889470	-39	107	29
12889798	-50	102	29
12890126	-47	102	24
12890454	-63	95	35
12890782	-54	92	34
12891110	-85	99	31
12891438	-92	92	28
12891766	-99	100	30
12892094	-113	100	27
12892422	-115	102	20
12892750	-107	112	14
12893078	-124	101	9
12893406	-141	115	7
12893734	-133	99	18
12894062	-139	113	15
12894390	-134	100	-10
12894718	-136	109	-2
12895046	-123	107	7
12895374	-100	95	0
12895702	-85	94	-5
12896030	-91	100	-11
12896358	-89	93	-2
12896686	-83	97	-2
12897014	-111	91	-2
12897342	-125	85	0
12897670	-147	85	-20
12897998	-177	41	-43
12898326	-202	34	-59
12898654	-248	36	-65
12898982	-297	49	-62
12899310	-399	8	-75
12899638	-440	-35	-78
12899966	-450	-28	-83
12900294	-394	-31	-65
12900622	-322	-170	-31
12900950	-440	-57	-4
12901278	-502	1	-20
12901606	-556	-51	-47
12901934	-608	-53	-52
12902262	-592	-25	-71
12902590	-578	-33	-107
12902918	-591	-28	-81
12903246	-545	-62	-76
12903574	-555	-39	-108
12903902	-595	-26	-87
12904230	-588	41	-69
12904558	-656	-65	-84
12904886	-666	-59	-70
12905214	-640	-50	-90
12905542	-591	-87	-85
12905870	-544	-89	-91
12906198	-523	-105	-93
12906526	-490	-116	-78
12906854	-526	-112	-70
12907182	-565	-113	-65
12907510	-600	-140	-77
12907838	-603	-146	-75
12908166	-573	-153	-72
12908494	-541	-161	-81
12908822	-512	-180	-98
12909150	-494	-185	-110
12909478	-507	-177	-93
12909806	-522	-205	-94
12910134	-554	-211	-92
12910462	-583	-217	-95
12910790	-582	-232	-87
12911118	-536	-156	-45
12911446	-554	-286	-72
12911774	-529	-292	-67
12912102	-518	-252	-61
12912430	-560	-298	-72
12912758	-532	-273	-58
12913086	-562	-283	-59
12913414	-575	-296	-50
12913742	-562	-284	-37
12914070	-597	-322	-27
12914398	-602	-318	-17
12914726	-588	-328	-4
12915054	-572	-342	8
12915382	-540	-330	23
12915710	-520	-378	32
12916038	-501	-334	50
12916366	-520	-361	73
12916694	-593	-384	97
12917022	-560	-356	130
12917350	-569	-353	141
12917678	-572	-346	156
12918006	-502	-309	175
12918334	-430	-374	216
12918662	-399	-329	232
12918990	-421	-364	247
12919318	-439	-360	258
12919646	-421	-369	269
12919974	-362	-366	272
12920302	-362	-344	278
12920630	-396	-338	293
12920958	-428	-277	326
12921286	-480	-300	362
12921614	-484	-278	365
12921942	-452	-252	383
12922270	-443	-244	399
12922598	-423	-220	411
12922926	-384	-215	406
12923254	-351	-202	414
12923582	-324	-208	410
12923910	-264	-197	395
12924238	-181	-96	440
12924566	-248	-41	522
12924894	-154	-135	477
12925222	-141	-173	448
12925550	-182	-99	462
12925878	-201	-65	472
12926206	-200	-100	475
12926534	-188	-77	477
12926862	-237	-15	483
12927190	-231	-10	470
12927518	-223	-25	463
12927846	-222	-40	452
12928174	-198	-5	439
12928502	-176	-21	437
12928830	-145	-3	414
12929158	-118	0	389
12929486	-128	11	349
12929814	-142	7	336
12930142	-125	-2	285
12930470	-139	-13	273
12930798	-124	7	262
12931126	-122	-16	229
12931454	-112	-13	210
12931782	-88	-7	185
12932110	-99	-22	153
12932438	-101	-34	126
12932766	-119	-34	104
12933094	-126	-20	76
12933422	-130	-13	63
12933750	-148	-25	51
12934078	-173	16	46
