Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
3877445	10	123	-5
3877773	-7	104	-2
3878101	-11	117	5
3878429	-3	115	0
3878757	-1	111	-14
3879085	-12	116	-7
3879413	-20	111	4
3879741	-43	114	-1
3880069	-44	123	-1
3880397	-29	122	-4
3880725	-41	135	-13
3881053	-40	133	-14
3881381	-29	125	-18
3881709	-22	129	-21
3882037	4	109	-14
3882365	4	133	-22
3882693	-24	138	-9
3883021	-32	135	-18
3883349	-37	140	-16
3883677	-36	156	-14
3884005	-67	135	-19
3884333	-46	136	-30
3884661	-41	145	-23
3884989	-26	132	-19
3885317	-28	140	-17
3885645	-32	142	-15
3885973	-39	133	-30
3886301	-46	144	-32
3886629	-46	139	-31
3886957	-31	153	-30
3887285	-28	145	-32
3887613	-22	147	-39
3887941	-27	140	-37
3888269	-49	152	-32
3888597	-24	148	-37
3888925	-32	152	-33
3889253	-50	147	-45
3889581	-36	150	-42
3889909	-36	145	-37
3890237	-39	161	-43
3890565	-41	150	-46
3890893	-41	161	-26
3891221	-64	167	-40
3891549	-86	177	-35
3891877	-124	155	-38
3892205	-128	158	-38
3892533	-114	183	-37
3892861	-143	158	-35
3893189	-142	178	-41
3893517	-127	170	-23
3893845	-127	164	-28
3894173	-144	170	-22
3894501	-146	160	-38
3894829	-113	156	-26
3895157	-97	153	-30
3895485	-64	143	-26
3895813	-61	137	-18
3896141	-60	137	-20
3896469	-99	155	-19
3896797	-112	153	-17
3897125	-130	146	-15
3897453	-113	146	-16
3897781	-102	149	-24
3898109	-109	130	-26
3898437	-87	147	-23
3898765	-70	133	-29
3899093	-75	134	-28
3899421	-93	137	-41
3899749	-90	144	-29
3900077	-96	130	-41
3900405	-86	117	-30
3900733	-70	115	-33
3901061	-66	111	-24
3901389	-50	106	-22
3901717	-30	110	-24
3902045	-30	109	-33
3902373	-1	103	-19
3902701	-1	101	-36
3903029	19	111	-23
3903357	41	92	-26
3903685	53	102	-11
3904013	40	102	-14
3904341	37	89	-23
3904669	13	104	-26
3904997	-10	113	-18
3905325	-36	126	-27
3905653	-74	120	-31
3905981	-67	127	-20
3906309	-58	123	-24
3906637	-52	126	-25
3906965	-12	111	-15
3907293	-22	120	-22
3907621	-25	130	-28
3907949	-29	122	-11
3908277	-52	134	-14
3908605	-54	129	-13
3908933	-56	132	-12
3909261	-27	124	-22
3909589	-19	127	-12
3909917	-24	142	-21
3910245	-40	132	-26
3910573	-58	135	-19
3910901	-71	152	-30
3911229	-90	149	-37
3911557	-93	144	-33
3911885	-89	135	-44
3912213	-80	136	-27
3912541	-59	129	-31
3912869	55	101	-45
3913197	116	88	-65
3913525	108	103	-39
3913853	27	143	-42
3914181	-76	158	-33
3914509	-158	192	-34
3914837	-227	182	-44
3915165	-206	182	-44
3915493	-149	173	-56
3915821	-76	156	-63
3916149	-44	166	-55
3916477	-59	133	-61
3916805	-47	150	-63
3917133	-35	182	-54
3917461	-49	171	-63
3917789	-89	177	-47
3918117	-117	174	-57
3918445	-131	181	-64
3918773	-142	191	-50
3919101	-143	183	-62
3919429	-166	198	-77
3919757	-156	187	-94
3920085	-151	194	-86
3920413	-148	187	-88
3920741	-156	189	-94
3921069	-164	182	-88
3921397	-189	196	-100
3921725	-193	189	-110
3922053	-171	177	-110
3922381	-122	201	-105
3922709	-129	176	-116
3923037	-154	169	-118
3923365	-139	188	-120
3923693	-146	192	-118
3924021	-136	173	-124
3924349	-87	164	-131
3924677	-65	164	-131
3925005	-28	156	-136
3925333	-29	138	-139
3925661	-22	135	-155
3925989	-16	134	-152
3926317	-23	132	-157
3926645	-16	131	-167
3926973	-31	152	-164
3927301	-49	115	-178
3927629	-64	115	-179
3927957	-96	140	-170
3928285	-173	145	-154
3928613	-258	170	-162
3928941	-353	176	-151
3929269	-417	195	-155
3929597	-460	187	-160
3929925	-479	193	-161
3930253	-463	202	-151
3930581	-430	203	-159
3930909	-427	183	-159
3931237	-402	182	-153
3931565	-363	189	-144
3931893	-354	190	-156
3932221	-344	173	-143
3932549	-338	198	-132
3932877	-342	185	-117
3933205	-289	185	-93
3933533	-245	177	-83
3933861	-158	187	-55
3934189	-81	166	-20
3934517	-15	170	9
3934845	53	182	40
3935173	97	196	61
3935501	137	188	79
3935829	178	185	111
3936157	223	161	110
3936485	246	164	125
3936813	291	170	139
3937141	308	176	154
3937469	291	183	135
3937797	281	164	137
3938125	271	192	140
3938453	194	74	129
3938781	286	172	124
3939109	295	172	97
3939437	272	144	107
3939765	253	176	95
3940093	193	158	87
3940421	122	177	82
3940749	79	191	79
3941077	42	195	64
3941405	14	179	64
3941733	-8	199	52
3942061	-22	189	49
3942389	-45	200	61
3942717	-70	202	54
3943045	-84	194	41
3943373	-56	201	45
3943701	-31	200	50
3944029	-5	177	40
3944357	19	172	42
3944685	20	183	50
3945013	-10	184	51
3945341	-53	193	65
3945669	-90	193	58
3945997	-94	177	60
3946325	-86	187	57
3946653	-47	172	38
3946981	-10	181	29
3947309	29	161	31
3947637	28	159	19
3947965	39	149	19
3948293	51	148	19
3948621	86	135	-3
3948949	97	125	6
3949277	125	125	-6
3949605	143	113	-5
3949933	167	106	-12
3950261	154	105	-20
3950589	145	118	-20
3950917	117	115	-44
3951245	108	136	-28
3951573	68	159	-36
3951901	43	153	-52
3952229	18	143	-53
3952557	-6	165	-75
3952885	20	151	-65
3953213	60	140	-75
3953541	68	126	-85
3953869	97	140	-77
3954197	61	147	-74
3954525	-12	168	-60
3954853	-85	192	-52
3955181	-133	186	-47
3955509	-112	176	-67
3955837	-55	187	-81
3956165	-4	163	-86
3956493	53	150	-90
3956821	74	161	-108
3957149	47	157	-129
3957477	-33	158	-141
3957805	-92	142	-158
3958133	-119	132	-181
3958461	-117	134	-201
3958789	-88	140	-211
3959117	-79	109	-226
3959445	-68	121	-221
3959773	-65	131	-225
3960101	-67	103	-216
3960429	-60	126	-186
3960757	-55	118	-167
3961085	-1	135	-136
3961413	34	144	-113
3961741	64	148	-85
3962069	61	175	-68
3962397	7	182	-50
3962725	-113	195	-28
3963053	-228	216	-24
3963381	-308	214	-20
3963709	-325	220	-36
3964037	-306	185	-42
3964365	-261	168	-67
3964693	-206	161	-97
