Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
5543793	-50	103	-4
5544121	-43	101	-7
5544449	-13	94	11
5544777	3	85	-11
5545105	2	85	-12
5545433	-21	90	2
5545761	-39	67	5
5546089	-71	67	-4
5546417	-126	61	4
5546745	-140	61	2
5547073	-140	68	-3
5547401	-136	78	-5
5547729	-123	91	-16
5548057	-118	93	-13
5548385	-134	104	-27
5548713	-111	105	-36
5549041	-103	116	-46
5549369	-86	107	-41
5549697	-81	107	-47
5550025	-89	116	-43
5550353	-82	108	-44
5550681	-84	101	-38
5551009	-96	116	-36
5551337	-110	107	-33
5551665	-124	94	-43
5551993	-117	102	-46
5552321	-121	94	-37
5552649	-121	99	-48
5552977	-134	94	-43
5553305	-136	89	-43
5553633	-158	75	-31
5553961	-173	70	-21
5554289	-202	75	-20
5554617	-230	60	-11
5554945	-247	54	-17
5555273	-288	63	12
5555601	-375	67	37
5555929	-475	41	52
5556257	-510	27	72
5556585	-510	38	76
5556913	-550	42	68
5557241	-566	56	100
5557569	-579	47	83
5557897	-540	56	73
5558225	-471	63	51
5558553	-374	77	34
5558881	-253	80	4
5559209	-120	95	-23
5559537	-79	80	-29
5559865	-106	100	-19
5560193	-140	91	-19
5560521	-223	75	3
5560849	-231	76	-3
5561177	-210	90	-20
5561505	-136	107	-60
5561833	-65	104	-53
5562161	-28	123	-73
5562489	-41	120	-71
5562817	-85	116	-60
5563145	-107	104	-52
5563473	-117	115	-63
5563801	-110	117	-61
5564129	-107	139	-63
5564457	-111	124	-73
5564785	-120	140	-70
5565113	-153	139	-71
5565441	-158	139	-63
5565769	-173	162	-63
5566097	-139	146	-72
5566425	-93	152	-78
5566753	-76	160	-91
5567081	-75	145	-87
5567409	-56	152	-76
5567737	-30	157	-86
5568065	-16	169	-81
5568393	-8	160	-82
5568721	34	164	-74
5569049	60	168	-72
5569377	78	155	-68
5569705	101	159	-74
5570033	92	156	-74
5570361	66	153	-57
5570689	100	130	-81
5571017	170	154	-98
5571345	255	152	-97
5571673	260	160	-82
5572001	193	138	-96
5572329	88	135	-88
5572657	20	128	-69
5572985	-10	125	-68
5573313	5	149	-72
5573641	45	159	-80
5573969	25	172	-94
5574297	82	176	-105
5574625	114	152	-99
5574953	104	159	-87
5575281	46	163	-93
5575609	4	152	-89
5575937	-9	150	-102
5576265	15	149	-95
5576593	20	150	-76
5576921	-12	153	-80
5577249	-59	148	-69
5577577	-114	130	-52
5577905	-157	133	-51
5578233	-144	123	-55
5578561	-107	143	-50
5578889	-79	126	-49
5579217	-53	118	-53
5579545	-65	125	-55
5579873	-58	112	-53
5580201	-63	113	-44
5580529	-84	114	-53
5580857	-90	117	-50
5581185	-54	105	-35
5581513	-31	106	-53
5581841	-60	104	-47
5582169	-90	109	-41
5582497	-135	96	-35
5582825	-152	101	-39
5583153	-150	88	-44
5583481	-125	110	-39
5583809	-122	112	-51
5584137	-115	93	-51
5584465	-116	106	-47
5584793	-115	106	-42
5585121	-129	96	-34
5585449	-139	91	-51
5585777	-143	98	-38
5586105	-151	92	-34
5586433	-149	91	-32
5586761	-148	98	-33
5587089	-164	88	-41
5587417	-147	95	-19
5587745	-169	82	-29
5588073	-149	82	-28
5588401	-114	86	-32
5588729	-90	82	-27
5589057	-115	84	-27
5589385	-144	66	-11
5589713	-169	71	-5
5590041	-212	56	-3
5590369	-237	59	2
5590697	-250	72	7
5591025	-259	75	8
5591353	-255	75	-10
5591681	-255	80	-15
5592009	-211	81	-17
5592337	-170	78	-27
5592665	-152	104	-24
5592993	-109	96	-40
5593321	-144	109	-36
5593649	-131	123	-29
5593977	-117	115	-51
5594305	-116	119	-53
5594633	-88	118	-62
5594961	-70	124	-62
5595289	-89	117	-56
5595617	-109	116	-35
5595945	-93	124	-41
5596273	-81	127	-38
5596601	-45	125	-55
5596929	-38	124	-68
5597257	-23	126	-48
5597585	-29	124	-54
5597913	-45	109	-40
5598241	-49	113	-39
5598569	-60	116	-39
5598897	-83	115	-38
5599225	-100	106	-39
5599553	-88	126	-39
5599881	-98	119	-32
5600209	-85	111	-40
5600537	-87	120	-36
5600865	-73	128	-32
5601193	-67	126	-29
5601521	-59	136	-44
5601849	-74	144	-38
5602177	-54	103	-46
5602505	-76	139	-17
5602833	-108	163	-7
5603161	-97	149	-29
5603489	-85	159	-43
5603817	-65	125	-42
5604145	-49	102	-39
5604473	-59	119	-42
5604801	-43	137	-36
5605129	-26	142	-43
5605457	-25	147	-58
5605785	-32	153	-58
5606113	-18	141	-64
5606441	-10	133	-68
5606769	-38	155	-52
5607097	-62	156	-50
5607425	-79	153	-41
5607753	-99	142	-50
5608081	-116	148	-34
5608409	-98	134	-53
5608737	-117	129	-54
5609065	-114	125	-47
5609393	-109	148	-44
5609721	-105	131	-45
5610049	-82	139	-57
5610377	-71	143	-49
5610705	-86	145	-43
5611033	-80	154	-42
5611361	-55	154	-65
5611689	-32	156	-70
5612017	-47	139	-63
5612345	-73	142	-58
5612673	-84	144	-47
5613001	-90	123	-53
5613329	-77	117	-52
5613657	-54	135	-58
5613985	-60	149	-58
5614313	-58	154	-41
5614641	-75	142	-58
5614969	-78	140	-46
5615297	-60	147	-57
5615625	-42	139	-45
5615953	-57	133	-59
5616281	-44	141	-64
5616609	-7	160	-59
5616937	-27	154	-75
5617265	-24	159	-55
5617593	-22	145	-52
5617921	-52	127	-55
5618249	-56	144	-60
5618577	-105	136	-37
5618905	-101	126	-61
5619233	-122	123	-57
5619561	-121	138	-32
5619889	-127	128	-40
5620217	-109	145	-41
5620545	-111	152	-31
5620873	-102	136	-38
5621201	-110	138	-35
5621529	-118	134	-29
5621857	-114	136	-35
5622185	-115	129	-46
5622513	-127	112	-29
5622841	-133	114	-27
5623169	-176	124	-17
5623497	-229	95	-2
5623825	-244	101	-8
5624153	-269	89	-2
5624481	-264	106	-15
5624809	-261	105	-4
5625137	-233	111	-6
5625465	-222	132	-2
5625793	-190	106	-5
5626121	-166	106	-12
5626449	-147	136	-9
5626777	-149	138	-22
5627105	-162	125	-20
5627433	-135	117	-14
5627761	-141	127	-8
5628089	-173	144	-15
5628417	-125	113	-39
5628745	-140	98	-24
5629073	-173	124	-14
