Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
16453866	2734	2017	2366
16454506	2734	2026	2362
16455146	2735	2022	2367
16455786	2737	2019	2367
16456426	2732	2020	2367
16457066	2728	2024	2360
16457706	2730	2023	2357
16458346	2733	2021	2366
16458986	2736	2019	2366
16459626	2729	2017	2366
16460266	2733	2019	2361
16460906	2729	2016	2368
16461546	2740	2020	2356
16462186	2722	2015	2398
16462826	2738	2023	2351
16463466	2730	2025	2359
16464106	2731	2023	2363
16464746	2737	2024	2369
16465386	2740	2019	2378
16466026	2733	2013	2370
16466666	2729	2015	2363
16467306	2728	2018	2360
16467946	2730	2017	2368
16468586	2731	2017	2370
16469226	2726	2016	2362
16469866	2731	2017	2360
16470506	2734	2021	2373
16471146	2737	2021	2367
16471786	2726	2021	2379
16472426	2732	2023	2349
16473066	2726	2019	2367
16473706	2737	2019	2369
16474346	2736	2014	2368
16474986	2735	2018	2368
16475626	2735	2015	2361
16476266	2736	2017	2363
16476906	2736	2015	2368
16477546	2735	2017	2365
16478186	2734	2021	2359
16478826	2733	2021	2358
16479466	2735	2021	2360
16480106	2734	2019	2362
16480746	2734	2014	2362
16481386	2735	2013	2361
16482026	2737	2019	2363
16482666	2741	2019	2364
16483306	2739	2017	2371
16483946	2738	2014	2368
16484586	2736	2011	2366
16485226	2734	2017	2371
16485866	2740	2016	2365
16486506	2748	2018	2367
16487146	2757	2020	2383
16487786	2759	2023	2395
16488426	2766	2019	2398
16489066	2770	2020	2405
16489706	2771	2026	2402
16490346	2747	2027	2404
16490986	2721	2030	2390
16491626	2734	2040	2320
16492266	2739	2037	2309
16492906	2723	2028	2331
16493546	2702	2052	2314
16494186	2744	2051	2259
16494826	2767	2036	2256
16495466	2720	2012	2286
16496106	2716	1991	2234
16496746	2771	1996	2191
16497386	2787	2022	2256
16498026	2790	2014	2302
16498666	2801	2005	2276
16499306	2809	2009	2261
16499946	2778	1996	2270
16500586	2748	1999	2243
16501226	2759	2005	2197
16501866	2759	2009	2211
16502506	2766	2001	2249
16503146	2774	1998	2250
16503786	2777	2011	2226
16504426	2785	2025	2205
16505066	2774	2024	2212
16505706	2768	2025	2224
16506346	2773	2027	2220
16506986	2779	2023	2218
16507626	2781	2017	2222
16508266	2782	2015	2215
16508906	2779	2016	2212
16509546	2774	2013	2213
16510186	2771	2014	2208
16510826	2786	2008	2215
16511466	2797	2010	2228
16512106	2809	2012	2233
16512746	2809	2023	2242
16513386	2803	2032	2239
16514026	2791	2033	2240
16514666	2777	2029	2240
16515306	2761	2020	2224
16515946	2748	2017	2211
16516586	2743	2023	2209
16517226	2756	2024	2207
16517866	2754	2018	2224
16518506	2783	2015	2212
16519146	2775	2021	2224
16519786	2789	2018	2214
16520426	2797	2015	2220
16521066	2800	2010	2229
16521706	2801	2011	2227
16522346	2787	2015	2235
16522986	2779	2018	2241
16523626	2777	2022	2237
16524266	2776	2020	2231
16524906	2778	2019	2232
16525546	2775	2021	2241
16526186	2765	2025	2247
16526826	2771	2016	2237
16527466	2775	2016	2239
16528106	2764	2023	2252
16528746	2763	2031	2240
16529386	2785	2017	2220
16530026	2778	2021	2251
16530666	2771	2021	2256
16531306	2779	2013	2240
16531946	2770	2014	2241
16532586	2769	2010	2243
16533226	2772	2015	2243
16533866	2773	2013	2252
16534506	2778	2013	2253
16535146	2785	2017	2250
16535786	2790	2015	2254
16536426	2784	2013	2264
16537066	2784	2018	2264
16537706	2783	2015	2250
16538346	2781	2014	2246
16538986	2779	2021	2257
16539626	2778	2016	2266
16540266	2773	2017	2258
16540906	2767	2013	2256
16541546	2776	2022	2252
16542186	2767	2013	2276
16542826	2772	2023	2261
16543466	2778	2014	2246
16544106	2777	2015	2260
16544746	2775	2012	2276
16545386	2774	2008	2275
16546026	2777	2000	2261
16546666	2773	2002	2259
16547306	2769	2006	2260
16547946	2770	2004	2260
16548586	2773	2007	2260
16549226	2773	2005	2256
16549866	2772	2007	2259
16550506	2772	2005	2262
16551146	2776	2005	2270
16551786	2767	2001	2272
16552426	2768	2016	2251
16553066	2778	2009	2235
16553706	2766	2000	2251
16554346	2771	1986	2251
16554986	2777	1979	2246
16555626	2766	2007	2244
16556266	2763	2007	2228
16556906	2756	2007	2212
16557546	2748	2005	2210
16558186	2754	1990	2216
16558826	2765	1970	2221
16559466	2774	1962	2234
16560106	2783	1946	2247
16560746	2789	1963	2258
16561386	2792	1966	2267
16562026	2793	1979	2274
16562666	2785	2000	2273
16563306	2787	1997	2268
16563946	2785	2013	2258
16564586	2785	2025	2247
16565226	2772	2020	2249
16565866	2776	2014	2249
16566506	2775	1998	2253
16567146	2783	1981	2244
16567786	2778	1963	2265
16568426	2789	1989	2218
16569066	2780	1990	2223
16569706	2781	1979	2236
16570346	2782	1975	2236
16570986	2798	1962	2237
16571626	2784	1961	2248
16572266	2778	1947	2245
16572906	2774	1942	2237
16573546	2775	1939	2245
16574186	2781	1954	2245
16574826	2783	1984	2242
16575466	2786	1994	2228
16576106	2779	2004	2232
16576746	2782	1997	2222
16577386	2773	2001	2215
16578026	2767	2001	2200
16578666	2765	1998	2203
16579306	2771	1983	2215
16579946	2775	1969	2226
16580586	2783	1932	2230
16581226	2780	1962	2226
16581866	2755	1991	2222
16582506	2764	1960	2209
16583146	2771	1971	2200
16583786	2772	1982	2223
16584426	2774	2006	2231
16585066	2778	2017	2231
16585706	2780	2002	2235
16586346	2792	1997	2236
16586986	2799	1997	2243
16587626	2801	2013	2246
16588266	2800	2019	2236
16588906	2782	2009	2234
16589546	2772	2006	2232
16590186	2781	2015	2225
16590826	2788	2005	2230
16591466	2772	1986	2226
16592106	2757	1984	2224
16592746	2745	1989	2227
16593386	2760	2025	2217
16594026	2772	2046	2267
16594666	2781	2046	2223
16595306	2773	2056	2233
16595946	2772	2066	2256
16596586	2787	2078	2254
16597226	2800	2070	2265
16597866	2786	2054	2262
16598506	2760	2085	2238
16599146	2734	2100	2228
16599786	2713	2088	2238
16600426	2707	2062	2261
16601066	2719	2059	2282
16601706	2726	2072	2284
16602346	2736	2073	2254
16602986	2740	2028	2278
16603626	2733	2016	2332
16604266	2742	2071	2322
