Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
3280103	9	163	-28
3280431	40	133	-49
3280759	54	101	-79
3281087	0	112	-88
3281415	-33	81	-92
3281743	-40	60	-112
3282071	-46	58	-137
3282399	-35	79	-151
3282727	-43	118	-169
3283055	-26	143	-170
3283383	-23	137	-183
3283711	-59	150	-184
3284039	-17	173	-179
3284367	32	126	-177
3284695	76	103	-156
3285023	68	104	-160
3285351	81	72	-157
3285679	48	90	-146
3286007	24	110	-126
3286335	21	64	-95
3286663	79	74	-110
3286991	4	66	-98
3287319	-134	18	-88
3287647	-96	-17	-73
3287975	22	113	-79
3288303	50	188	-67
3288631	30	196	-69
3288959	-21	180	-46
3289287	-32	213	-33
3289615	-83	194	-15
3289943	-118	159	-13
3290271	-121	155	1
3290599	-138	150	-11
3290927	-126	127	-2
3291255	-74	166	0
3291583	-80	206	16
3291911	-101	190	20
3292239	-97	166	45
3292567	-84	183	39
3292895	-111	196	46
3293223	-102	187	57
3293551	-74	176	55
3293879	-113	201	51
3294207	-143	220	46
3294535	-117	226	39
3294863	-73	214	17
3295191	-2	195	19
3295519	49	159	15
3295847	73	130	4
3296175	55	121	0
3296503	66	113	0
3296831	100	124	-10
3297159	133	142	-26
3297487	158	152	-50
3297815	153	144	-44
3298143	96	167	-46
3298471	32	154	-39
3298799	38	197	-43
3299127	22	191	-15
3299455	-48	174	-12
3299783	-75	193	-24
3300111	12	149	-74
3300439	313	74	-70
3300767	187	122	-43
3301095	49	145	-1
3301423	-116	5	37
3301751	-123	174	23
3302079	66	212	-19
3302407	-13	123	-18
3302735	84	257	-25
3303063	170	357	-20
3303391	143	285	-46
3303719	97	231	-35
3304047	42	181	-18
3304375	-8	131	-2
3304703	-28	125	-15
3305031	-55	155	-41
3305359	-86	142	-34
3305687	-89	136	-43
3306015	-93	136	-49
3306343	-39	178	-58
3306671	0	206	-62
3306999	33	193	-63
3307327	42	162	-49
3307655	29	161	-42
3307983	36	169	-52
3308311	76	166	-39
3308639	67	167	-34
3308967	57	223	-33
3309295	62	266	-21
3309623	140	292	-51
3309951	42	241	-65
3310279	-66	150	-29
3310607	-45	196	-21
3310935	82	274	-36
3311263	38	279	-37
3311591	2	225	-35
3311919	3	228	-17
3312247	91	283	-23
3312575	80	279	-24
3312903	29	266	-9
3313231	11	220	-19
3313559	-41	191	-19
3313887	-77	203	-12
3314215	-77	201	-3
3314543	-124	163	-21
3314871	-118	159	-9
3315199	-133	214	2
3315527	-118	225	1
3315855	-81	202	18
3316183	-103	208	37
3316511	-81	227	42
3316839	-79	239	41
3317167	-74	243	51
3317495	-56	220	45
3317823	-11	196	24
3318151	17	179	28
3318479	11	164	14
3318807	-11	169	-8
3319135	-37	141	-13
3319463	-29	155	-26
3319791	-24	203	-18
3320119	-8	208	-47
3320447	-1	227	-45
3320775	10	251	-46
3321103	3	245	-46
3321431	10	247	-52
3321759	16	215	-52
3322087	-27	174	-36
3322415	-32	165	-39
3322743	-40	156	-43
3323071	-46	122	-28
3323399	-10	118	-21
3323727	25	89	-2
3324055	25	89	2
3324383	18	94	6
3324711	-19	135	23
3325039	-84	153	40
3325367	-147	161	16
3325695	-214	149	-1
3326023	-102	80	-42
3326351	223	63	-49
3326679	8	83	-9
3327007	-15	25	36
3327335	-212	-93	75
3327663	-154	41	32
3327991	-44	-5	14
3328319	-69	14	12
3328647	27	120	12
3328975	53	162	-6
3329303	-5	102	-2
3329631	-31	79	11
3329959	-54	9	11
3330287	-70	-30	7
3330615	-77	-68	11
3330943	-47	-73	4
3331271	-67	-49	-24
3331599	-35	-24	-5
3331927	-1	-1	-7
3332255	27	5	-12
3332583	39	-20	-1
3332911	20	-3	0
3333239	20	-36	23
3333567	-4	-64	14
3333895	-31	-119	30
3334223	-61	-109	40
3334551	-76	-117	14
3334879	-115	-92	25
3335207	-61	-107	25
3335535	9	-119	14
3335863	-26	-146	2
3336191	-106	-261	11
3336519	-23	-234	47
3336847	78	-130	49
3337175	10	-113	11
3337503	-45	-103	4
3337831	-36	-106	-15
3338159	-38	-73	7
3338487	-41	-90	-30
3338815	-118	-97	-10
3339143	-170	-89	-23
3339471	-186	-85	-25
3339799	-212	-94	-16
3340127	-180	-70	-32
3340455	-160	-53	-14
3340783	-119	-35	-17
3341111	-91	-29	-14
3341439	-99	-18	-21
3341767	-77	-21	-25
3342095	-104	-10	-25
3342423	-114	-7	-27
3342751	-73	-23	-23
3343079	-21	-32	-26
3343407	18	-15	-29
3343735	48	5	-39
3344063	71	7	-30
3344391	88	8	-27
3344719	82	65	-48
3345047	43	69	-36
3345375	49	78	-27
3345703	72	108	-34
3346031	78	129	-28
3346359	101	138	-36
3346687	58	121	-28
3347015	2	117	-9
3347343	-11	130	-6
3347671	-83	92	8
3347999	-98	60	13
3348327	-81	52	-18
3348655	-89	43	-20
3348983	-72	42	-28
3349311	-73	31	-35
3349639	-3	-15	-38
3349967	-2	-39	-33
3350295	-12	-23	5
3350623	-64	-4	32
3350951	-75	17	30
3351279	-50	49	30
3351607	131	-19	-21
3351935	414	31	15
3352263	103	76	39
3352591	-51	57	129
3352919	-240	41	106
3353247	-167	174	90
3353575	-52	102	57
3353903	-112	90	66
3354231	-44	134	62
3354559	-11	97	40
3354887	56	34	31
3355215	83	9	27
3355543	31	-52	47
3355871	-10	-84	52
3356199	-12	-53	33
3356527	-31	-15	41
3356855	-44	-13	14
3357183	-54	-16	8
3357511	-49	-12	16
3357839	-21	2	9
3358167	-38	20	18
3358495	-28	5	-11
3358823	-15	22	11
3359151	-83	17	-9
3359479	-77	56	-6
3359807	-58	55	-26
3360135	-77	46	-30
3360463	-137	68	-14
3360791	-89	58	-6
3361119	19	153	-27
3361447	-148	79	-17
3361775	-154	78	-5
3362103	-41	36	-16
3362431	10	156	-29
3362759	-84	184	-22
3363087	-141	169	-13
3363415	-124	162	-11
3363743	-115	135	-21
3364071	-188	138	5
3364399	-257	145	11
3364727	-271	156	6
3365055	-287	174	-4
3365383	-323	206	-12
3365711	-320	234	-17
3366039	-277	260	-35
3366367	-220	294	-42
3366695	-199	371	-32
3367023	-199	392	-39
3367351	-210	395	-43
3367679	-245	354	-19
3368007	-273	324	-13
