Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
16223916	1200	2076	2007
16224556	1198	2075	2007
16225196	1197	2076	2005
16225836	1198	2077	2006
16226476	1200	2074	2006
16227116	1198	2073	2004
16227756	1200	2074	2006
16228396	1202	2073	2006
16229036	1197	2072	2006
16229676	1197	2080	2006
16230316	1196	2078	2008
16230956	1198	2077	2007
16231596	1198	2079	2005
16232236	1197	2076	2002
16232876	1202	2074	2001
16233516	1204	2073	2002
16234156	1205	2073	2001
16234796	1202	2075	2002
16235436	1199	2075	2003
16236076	1200	2078	2007
16236716	1196	2078	2008
16237356	1201	2077	2012
16237996	1198	2073	2011
16238636	1196	2076	2013
16239276	1200	2074	2013
16239916	1199	2078	2013
16240556	1201	2083	2011
16241196	1200	2082	2010
16241836	1200	2080	2010
16242476	1197	2079	2011
16243116	1198	2085	2013
16243756	1200	2083	2013
16244396	1202	2080	2016
16245036	1201	2082	2019
16245676	1203	2078	2021
16246316	1204	2075	2027
16246956	1201	2071	2028
16247596	1200	2071	2033
16248236	1195	2068	2036
16248876	1197	2067	2037
16249516	1195	2069	2038
16250156	1195	2067	2040
16250796	1197	2069	2040
16251436	1202	2069	2037
16252076	1201	2066	2038
16252716	1197	2066	2041
16253356	1197	2068	2042
16253996	1195	2067	2044
16254636	1195	2066	2047
16255276	1191	2071	2053
16255916	1196	2073	2055
16256556	1198	2072	2058
16257196	1200	2071	2059
16257836	1202	2070	2062
16258476	1200	2068	2063
16259116	1202	2065	2066
16259756	1202	2064	2068
16260396	1198	2063	2070
16261036	1199	2061	2070
16261676	1199	2060	2073
16262316	1203	2060	2073
16262956	1195	2063	2076
16263596	1196	2064	2078
16264236	1196	2067	2078
16264876	1192	2067	2078
16265516	1191	2066	2079
16266156	1190	2069	2079
16266796	1192	2074	2078
16267436	1200	2074	2076
16268076	1208	2071	2076
16268716	1202	2070	2076
16269356	1199	2067	2079
16269996	1201	2065	2082
16270636	1198	2064	2086
16271276	1206	2064	2085
16271916	1191	2057	2089
16272556	1195	2063	2091
16273196	1196	2067	2092
16273836	1196	2065	2092
16274476	1196	2063	2090
16275116	1198	2065	2091
16275756	1202	2063	2088
16276396	1200	2065	2087
16277036	1198	2065	2087
16277676	1202	2064	2086
16278316	1202	2064	2086
16278956	1203	2061	2087
16279596	1200	2063	2087
16280236	1196	2065	2089
16280876	1197	2067	2089
16281516	1200	2065	2091
16282156	1200	2063	2092
16282796	1198	2064	2092
16283436	1198	2062	2093
16284076	1198	2067	2094
16284716	1197	2067	2093
16285356	1196	2065	2094
16285996	1198	2062	2091
16286636	1201	2061	2090
16287276	1198	2057	2089
16287916	1200	2057	2087
16288556	1199	2057	2087
16289196	1198	2062	2086
16289836	1197	2059	2088
16290476	1200	2056	2088
16291116	1200	2058	2089
16291756	1195	2056	2090
16292396	1194	2057	2087
16293036	1197	2056	2087
16293676	1201	2058	2086
16294316	1202	2060	2086
16294956	1203	2060	2086
16295596	1201	2060	2086
16296236	1200	2059	2088
16296876	1199	2059	2090
16297516	1203	2060	2091
16298156	1190	2056	2093
16298796	1202	2055	2092
16299436	1197	2063	2093
16300076	1198	2061	2093
16300716	1195	2060	2094
16301356	1196	2060	2093
16301996	1197	2058	2091
16302636	1199	2057	2092
16303276	1202	2056	2090
16303916	1202	2057	2090
16304556	1202	2057	2090
16305196	1199	2059	2088
16305836	1200	2059	2089
16306476	1201	2057	2087
16307116	1197	2060	2087
16307756	1196	2060	2086
16308396	1196	2057	2085
16309036	1197	2057	2085
16309676	1196	2057	2082
16310316	1199	2057	2082
16310956	1199	2059	2080
16311596	1200	2060	2080
16312236	1202	2059	2081
16312876	1201	2063	2083
16313516	1199	2061	2081
16314156	1197	2058	2080
16314796	1197	2061	2082
16315436	1201	2060	2082
16316076	1200	2059	2084
16316716	1200	2062	2083
16317356	1197	2063	2081
16317996	1195	2064	2081
16318636	1198	2065	2077
16319276	1200	2064	2077
16319916	1199	2064	2077
16320556	1200	2059	2076
16321196	1202	2059	2076
16321836	1203	2062	2076
16322476	1202	2064	2077
16323116	1200	2066	2080
16323756	1197	2063	2081
16324396	1197	2064	2084
16325036	1201	2059	2085
16325676	1197	2062	2087
16326316	1195	2060	2087
16326956	1200	2056	2087
16327596	1199	2060	2087
16328236	1194	2064	2085
16328876	1198	2068	2083
16329516	1200	2070	2084
16330156	1204	2067	2081
16330796	1204	2063	2082
16331436	1200	2064	2084
16332076	1201	2063	2086
16332716	1199	2066	2086
16333356	1199	2066	2086
16333996	1194	2066	2088
16334636	1195	2068	2089
16335276	1200	2062	2086
16335916	1201	2059	2084
16336556	1200	2061	2084
16337196	1199	2063	2086
16337836	1198	2065	2085
16338476	1200	2062	2084
16339116	1200	2064	2083
16339756	1196	2062	2084
16340396	1196	2061	2084
16341036	1202	2060	2081
16341676	1200	2058	2080
16342316	1193	2060	2080
16342956	1194	2058	2078
16343596	1194	2067	2080
16344236	1195	2066	2080
16344876	1197	2064	2079
16345516	1198	2062	2078
16346156	1197	2057	2075
16346796	1200	2055	2073
16347436	1202	2053	2073
16348076	1200	2054	2073
16348716	1198	2055	2073
16349356	1195	2056	2074
16349996	1194	2058	2073
16350636	1200	2053	2074
16351276	1204	2051	2073
16351916	1200	2054	2071
16352556	1197	2048	2071
16353196	1198	2051	2067
16353836	1199	2050	2067
16354476	1197	2052	2065
16355116	1200	2052	2064
16355756	1198	2054	2064
16356396	1196	2057	2061
16357036	1194	2058	2062
16357676	1199	2056	2063
16358316	1196	2059	2065
16358956	1203	2059	2067
16359596	1200	2050	2068
16360236	1199	2054	2069
16360876	1194	2056	2069
16361516	1187	2060	2071
16362156	1189	2063	2070
16362796	1192	2063	2072
16363436	1188	2064	2069
16364076	1183	2064	2072
16364716	1179	2058	2074
16365356	1162	2067	2083
16365996	1146	2078	2094
16366636	1135	2081	2107
16367276	1129	2087	2120
16367916	1142	2092	2131
16368556	1169	2093	2129
16369196	1180	2078	2110
16369836	1219	2072	2076
16370476	1266	2047	2031
16371116	1310	2043	1997
16371756	1321	2026	1947
16372396	1381	1998	1866
16373036	1409	1962	1786
16373676	1412	1965	1724
16374316	1340	1985	1652
