Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
3934860	17152	0	0
3935500	17152	0	0
3936140	17152	0	0
3936780	17152	0	0
3937420	17152	0	0
3938060	17152	0	0
3938700	17152	0	0
3939340	17152	0	0
3939980	17152	0	0
3940620	17152	0	0
3941260	17152	0	0
3941900	17152	0	0
3942540	17152	0	0
3943180	17152	0	0
3943820	17152	0	0
3944460	17152	0	0
3945100	17152	0	0
3945740	17152	0	0
3946380	17152	0	0
3947020	17152	0	0
3947660	17152	0	0
3948300	17152	0	0
3948940	17152	0	0
3949580	17152	0	0
3950220	17152	0	0
3950860	17152	0	0
3951500	17152	0	0
3952140	17152	0	0
3952780	17152	0	0
3953420	17152	0	0
3954060	17152	0	0
3954700	17152	0	0
3955340	17152	0	0
3955980	17152	0	0
3956620	17152	0	0
3957260	17152	0	0
3957900	17152	0	0
3958540	17152	0	0
3959180	17152	0	0
3959820	17152	0	0
3960460	17152	0	0
3961100	17152	0	0
3961740	17152	0	0
3962380	17152	0	0
3963020	17152	0	0
3963660	17152	0	0
3964300	17152	0	0
3964940	17152	0	0
3965580	17152	0	0
3966220	17152	0	0
3966860	17152	0	0
3967500	17152	0	0
3968140	17152	0	0
3968780	17152	0	0
3969420	17152	0	0
3970060	17152	0	0
3970700	17152	0	0
3971340	17152	0	0
3971980	17152	0	0
3972620	17152	0	0
3973260	17152	0	0
3973900	17152	0	0
3974540	17152	0	0
3975180	17152	0	0
3975820	17152	0	0
3976460	17152	0	0
3977100	17152	0	0
3977740	17152	0	0
3978380	17152	0	0
3979020	17152	0	0
3979660	17152	0	0
3980300	17152	0	0
3980940	17152	0	0
3981580	17152	0	0
3982220	17152	0	0
3982860	17152	0	0
3983500	17152	0	0
3984140	17152	0	0
3984780	17152	0	0
3985420	17152	0	0
3986060	17152	0	0
3986700	17152	0	0
3987340	17152	0	0
3987980	17152	0	0
3988620	17152	0	0
3989260	17152	0	0
3989900	17152	0	0
3990540	17152	0	0
3991180	17152	0	0
3991820	17152	0	0
3992460	17152	0	0
3993100	17152	0	0
3993740	17152	0	0
3994380	17152	0	0
3995020	17152	0	0
3995660	17152	0	0
3996300	17152	0	0
3996940	17152	0	0
3997580	17152	0	0
3998220	17152	0	0
3998860	17152	0	0
3999500	17152	0	0
4000140	17152	0	0
4000780	17152	0	0
4001420	17152	0	0
4002060	17152	0	0
4002700	17152	0	0
4003340	17152	0	0
4003980	17152	0	0
4004620	17152	0	0
4005260	17152	0	0
4005900	17152	0	0
4006540	17152	0	0
4007180	17152	0	0
4007820	17152	0	0
4008460	17152	0	0
4009100	17152	0	0
4009740	17152	0	0
4010380	17152	0	0
4011020	17152	0	0
4011660	17152	0	0
4012300	17152	0	0
4012940	17152	0	0
4013580	17152	0	0
4014220	17152	0	0
4014860	17152	0	0
4015500	17152	0	0
4016140	17152	0	0
4016780	17152	0	0
4017420	17152	0	0
4018060	17152	0	0
4018700	17152	0	0
4019340	17152	0	0
4019980	17152	0	0
4020620	17152	0	0
4021260	17152	0	0
4021900	17152	0	0
4022540	17152	0	0
4023180	17152	0	0
4023820	17152	0	0
4024460	17152	0	0
4025100	17152	0	0
4025740	17152	0	0
4026380	17152	0	0
4027020	17152	0	0
4027660	17152	0	0
4028300	17152	0	0
4028940	17152	0	0
4029580	17152	0	0
4030220	17152	0	0
4030860	17152	0	0
4031500	17152	0	0
4032140	17152	0	0
4032780	17152	0	0
4033420	17152	0	0
4034060	17152	0	0
4034700	17152	0	0
4035340	17152	0	0
4035980	17152	0	0
4036620	17152	0	0
4037260	17152	0	0
4037900	17152	0	0
4038540	17152	0	0
4039180	17152	0	0
4039820	17152	0	0
4040460	17152	0	0
4041100	17152	0	0
4041740	17152	0	0
4042380	17152	0	0
4043020	17152	0	0
4043660	17152	0	0
4044300	17152	0	0
4044940	17152	0	0
4045580	17152	0	0
4046220	17152	0	0
4046860	17152	0	0
4047500	17152	0	0
4048140	17152	0	0
4048780	17152	0	0
4049420	17152	0	0
4050060	17152	0	0
4050700	17152	0	0
4051340	17152	0	0
4051980	17152	0	0
4052620	17152	0	0
4053260	17152	0	0
4053900	17152	0	0
4054540	17152	0	0
4055180	17152	0	0
4055820	17152	0	0
4056460	17152	0	0
4057100	17152	0	0
4057740	17152	0	0
4058380	17152	0	0
4059020	17152	0	0
4059660	17152	0	0
4060300	17152	0	0
4060940	17152	0	0
4061580	17152	0	0
4062220	17152	0	0
4062860	17152	0	0
4063500	17152	0	0
4064140	17152	0	0
4064780	17152	0	0
4065420	17152	0	0
4066060	17152	0	0
4066700	17152	0	0
4067340	17152	0	0
4067980	17152	0	0
4068620	17152	0	0
4069260	17152	0	0
4069900	17152	0	0
4070540	17152	0	0
4071180	17152	0	0
4071820	17152	0	0
4072460	17152	0	0
4073100	17152	0	0
4073740	17152	0	0
4074380	17152	0	0
4075020	17152	0	0
4075660	17152	0	0
4076300	17152	0	0
4076940	17152	0	0
4077580	17152	0	0
4078220	17152	0	0
4078860	17152	0	0
4079500	17152	0	0
4080140	17152	0	0
4080780	17152	0	0
4081420	17152	0	0
4082060	17152	0	0
4082700	17152	0	0
4083340	17152	0	0
4083980	17152	0	0
4084620	17152	0	0
4085260	17152	0	0
4085900	17152	0	0
4086540	17152	0	0
4087180	17152	0	0
4087820	17152	0	0
4088460	17152	0	0
4089100	17152	0	0
4089740	17152	0	0
4090380	17152	0	0
4091020	17152	0	0
4091660	17152	0	0
4092300	17152	0	0
4092940	17152	0	0
4093580	17152	0	0
4094220	17152	0	0
4094860	17152	0	0
4095500	17152	0	0
4096140	17152	0	0
4096780	17152	0	0
4097420	17152	0	0
4098060	17152	0	0
4098700	17152	0	0
4099340	17152	0	0
4099980	17152	0	0
4100620	17152	0	0
4101260	17152	0	0
4101900	17152	0	0
4102540	17152	0	0
4103180	17152	0	0
4103820	17152	0	0
4104460	17152	0	0
4105100	17152	0	0
4105740	17152	0	0
4106380	17152	0	0
4107020	17152	0	0
4107660	17152	0	0
4108300	17152	0	0
4108940	17152	0	0
4109580	17152	0	0
4110220	17152	0	0
4110860	17152	0	0
4111500	17152	0	0
4112140	17152	0	0
4112780	17152	0	0
4113420	17152	0	0
4114060	17152	0	0
