Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
4032618	458	-1229	-6996
4032946	1162	-1291	-5508
4033274	1646	-1139	-3832
4033602	1989	-898	-2286
4033930	2438	-929	-910
4034258	3135	-830	454
4034586	3829	-537	1879
4034914	4379	-358	3195
4035242	4936	-310	4400
4035570	5893	10	5603
4035898	2513	5173	6279
4036226	4887	137	5045
4036554	875	-361	2907
4036882	5657	-1112	4383
4037210	4884	-976	4748
4037538	3726	-475	5272
4037866	1974	914	4755
4038194	2175	1167	4915
4038522	3209	913	5061
4038850	3231	1643	4741
4039178	3608	2197	4454
4039506	3217	2116	4023
4039834	2598	2116	3710
4040162	1749	2217	3620
4040490	707	2323	3353
4040818	-36	2382	3090
4041146	-363	2401	2946
4041474	-345	2213	2983
4041802	-101	1868	3020
4042130	208	1473	2938
4042458	299	1313	2891
4042786	66	1340	2805
4043114	-453	1438	2536
4043442	-1148	1516	2300
4043770	-1610	1966	2157
4044098	-1722	1893	2165
4044426	-1575	1749	2306
4044754	-1159	1442	2383
4045082	-598	1294	2440
4045410	-70	1092	2502
4045738	459	821	2539
4046066	741	706	2539
4046394	831	678	2584
4046722	691	750	2709
4047050	481	797	2853
4047378	352	749	3076
4047706	274	732	3270
4048034	379	626	3512
4048362	625	567	3736
4048690	817	459	3899
4049018	891	481	4047
4049346	1868	-72	3998
4049674	830	659	4337
4050002	218	806	4440
4050330	-1	767	4670
4050658	-242	1009	4830
4050986	-96	1012	4949
4051314	-259	1279	5112
4051642	-666	1481	5177
4051970	-851	1459	5424
4052298	-1260	1363	5408
4052626	-1170	1410	5481
4052954	-1090	1465	5540
4053282	-1125	1915	5569
4053610	-1161	1558	5630
4053938	-1162	1339	5797
4054266	-1109	952	5987
4054594	-750	779	5876
4054922	-634	496	5887
4055250	-808	438	5887
4055578	-1088	393	5890
4055906	-1312	522	6041
4056234	-1430	633	6160
4056562	-1898	193	6458
4056890	-749	155	6845
4057218	-1343	683	6967
4057546	-1389	1381	7503
4057874	-2210	2031	7884
4058202	-2890	2214	8468
4058530	-3559	2421	9000
4058858	-2211	2767	9547
4059186	-3760	2398	9029
4059514	-2446	486	8014
4059842	209	-889	7133
4060170	2409	-2229	6688
4060498	2269	-1225	6413
4060826	1652	1936	5798
4061154	1749	802	4799
4061482	1835	1645	3600
4061810	1010	3007	3196
4062138	870	3260	1989
4062466	15	3441	726
4062794	-103	3659	-449
4063122	-285	3339	-1748
4063450	-199	3152	-2917
4063778	-96	2852	-3806
4064106	-64	2621	-4647
4064434	-16	2335	-5852
4064762	158	1927	-6974
4065090	938	1285	-8129
4065418	746	609	-9310
4065746	486	125	-10009
4066074	-206	137	-10864
4066402	-523	-389	-11702
4066730	-350	-1887	-13298
4067058	-267	-2318	-13864
4067386	-249	-2852	-14342
4067714	57	-3273	-14840
4068042	-37	-3721	-15402
4068370	-755	-4020	-15519
4068698	-1519	-3949	-15847
4069026	-2098	-4009	-15963
4069354	-2474	-3734	-15911
4069682	-2844	-3119	-15662
4070010	-3129	-2448	-15223
4070338	-3238	-2346	-15515
4070666	-4198	-2229	-15820
4070994	-5808	-659	-15794
4071322	-5947	-248	-14970
4071650	-5477	5	-14167
4071978	-3987	73	-12906
4072306	-3788	-279	-12139
4072634	-2994	-620	-10705
4072962	-2419	-817	-9127
4073290	-1134	-928	-7119
4073618	166	-1248	-4967
4073946	1047	-1244	-2687
4074274	1323	-782	-538
4074602	1258	-102	1514
4074930	1439	144	3426
4075258	2640	1669	5246
4075586	1205	3940	4701
4075914	113	-217	2658
4076242	1268	-520	2570
4076570	3110	-635	3377
4076898	3949	-54	5768
4077226	5681	-547	6541
4077554	4001	-1461	5121
4077882	3933	-353	4991
4078210	3183	1508	4790
4078538	2466	2278	4379
4078866	1368	2264	4484
4079194	-251	2554	4229
4079522	-574	1730	3930
4079850	-1011	1501	3782
4080178	-220	1181	3780
4080506	1062	977	3705
4080834	1920	775	3668
4081162	1881	882	3446
4081490	1123	938	3306
4081818	123	1048	3156
4082146	-895	1470	3009
4082474	-1840	1713	2976
4082802	-2094	1674	3033
4083130	-1873	1433	3101
4083458	-1367	1147	3078
4083786	-825	880	3015
4084114	-549	671	3008
4084442	-451	479	3028
4084770	-282	253	3120
4085098	-83	100	3229
4085426	133	60	3293
4085754	295	26	3453
4086082	174	7	3637
4086410	-94	45	3754
4086738	-351	103	3891
4087066	-412	4	4040
4087394	-208	-43	4180
4087722	-93	163	4240
4088050	-219	355	4353
4088378	-548	460	4414
4088706	-827	506	4516
4089034	-1017	549	4573
4089362	-1050	510	4753
4089690	-1493	636	4769
4090018	-1255	588	4853
4090346	-1423	607	4974
4090674	-1597	545	5081
4091002	-1545	529	5239
4091330	-1468	544	5341
4091658	-1490	710	5477
4091986	-1826	763	5603
4092314	-1914	483	5767
4092642	-2281	433	6002
4092970	-2646	314	6254
4093298	-3309	-224	6701
4093626	-2178	-413	7034
4093954	-2135	523	7511
4094282	-1926	1326	8400
4094610	-2318	1945	9124
4094938	-2048	1800	9801
4095266	-3442	1688	10037
4095594	-3846	2221	9918
4095922	-3581	648	9279
4096250	-3231	-419	8767
4096578	-4821	902	7510
4096906	-3329	-626	5499
4097234	-3561	-5376	2626
4097562	-5827	-157	450
4097890	-5667	5541	-96
4098218	-5769	5480	-1601
4098546	-3765	4149	-3129
4098874	-2188	4029	-4602
4099202	-1657	4299	-5898
4099530	-962	4149	-7208
4099858	-45	3960	-8335
4100186	-352	4367	-9167
4100514	-908	5059	-10079
4100842	-2258	5363	-11053
4101170	509	4273	-12315
4101498	-2969	6621	-12437
4101826	-3250	6654	-13002
4102154	-4082	7138	-13542
4102482	-4475	7236	-14132
4102810	-4534	7496	-14544
4103138	-4726	7370	-14468
4103466	-4919	7174	-14122
4103794	-5644	6822	-13669
4104122	-7133	6432	-14063
4104450	-8644	6273	-13951
4104778	-9954	6213	-13384
4105106	-10729	6007	-12591
4105434	-10811	5867	-11657
4105762	-10218	5381	-10546
4106090	-9301	4408	-9578
4106418	-7556	3284	-8235
4106746	-5975	2449	-6863
4107074	-4829	2018	-5548
4107402	-3636	1642	-3918
4107730	-2258	1007	-2168
4108058	-1117	418	-733
4108386	217	-299	470
