Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
16536608	2337	1855	1320
16537248	2335	1855	1319
16537888	2335	1853	1318
16538528	2333	1853	1318
16539168	2329	1855	1317
16539808	2329	1858	1317
16540448	2330	1858	1319
16541088	2328	1860	1319
16541728	2329	1862	1319
16542368	2332	1863	1321
16543008	2334	1859	1319
16543648	2335	1858	1320
16544288	2335	1857	1318
16544928	2337	1855	1319
16545568	2336	1853	1318
16546208	2335	1851	1318
16546848	2335	1850	1319
16547488	2334	1849	1319
16548128	2331	1851	1316
16548768	2332	1854	1320
16549408	2332	1858	1315
16550048	2334	1859	1319
16550688	2334	1857	1318
16551328	2333	1857	1318
16551968	2333	1860	1319
16552608	2334	1859	1321
16553248	2336	1858	1319
16553888	2335	1854	1319
16554528	2331	1854	1317
16555168	2335	1855	1321
16555808	2334	1855	1319
16556448	2333	1854	1317
16557088	2333	1854	1316
16557728	2333	1852	1319
16558368	2333	1852	1318
16559008	2335	1853	1318
16559648	2333	1857	1318
16560288	2333	1856	1319
16560928	2336	1854	1318
16561568	2336	1854	1319
16562208	2335	1855	1320
16562848	2336	1855	1321
16563488	2335	1856	1319
16564128	2334	1854	1320
16564768	2334	1856	1318
16565408	2333	1856	1318
16566048	2333	1857	1318
16566688	2330	1857	1319
16567328	2331	1858	1319
16567968	2330	1858	1318
16568608	2333	1856	1319
16569248	2333	1855	1317
16569888	2334	1851	1319
16570528	2334	1852	1318
16571168	2335	1855	1319
16571808	2335	1853	1320
16572448	2336	1854	1320
16573088	2337	1854	1320
16573728	2334	1857	1319
16574368	2333	1855	1319
16575008	2330	1857	1316
16575648	2332	1857	1318
16576288	2331	1854	1319
16576928	2330	1855	1318
16577568	2332	1855	1319
16578208	2329	1856	1318
16578848	2332	1857	1315
16579488	2336	1854	1317
16580128	2334	1854	1319
16580768	2336	1854	1318
16581408	2339	1855	1322
16582048	2343	1856	1322
16582688	2342	1855	1320
16583328	2342	1855	1318
16583968	2346	1853	1319
16584608	2348	1852	1317
16585248	2338	1844	1318
16585888	2330	1844	1320
16586528	2329	1848	1320
16587168	2325	1851	1319
16587808	2322	1851	1316
16588448	2318	1852	1314
16589088	2318	1855	1315
16589728	2319	1860	1314
16590368	2322	1863	1318
16591008	2323	1871	1317
16591648	2329	1873	1323
16592288	2330	1870	1321
16592928	2332	1868	1320
16593568	2329	1865	1317
16594208	2334	1861	1321
16594848	2336	1859	1316
16595488	2339	1854	1320
16596128	2335	1849	1317
16596768	2333	1846	1319
16597408	2331	1840	1317
16598048	2334	1844	1316
16598688	2337	1847	1317
16599328	2337	1849	1315
16599968	2338	1851	1318
16600608	2337	1850	1318
16601248	2333	1853	1320
16601888	2331	1856	1318
16602528	2327	1861	1319
16603168	2323	1858	1320
16603808	2323	1858	1317
16604448	2322	1862	1316
16605088	2326	1863	1317
16605728	2332	1866	1316
16606368	2338	1861	1319
16607008	2343	1860	1319
16607648	2345	1855	1321
16608288	2345	1850	1322
16608928	2343	1841	1319
16609568	2339	1840	1319
16610208	2338	1839	1315
16610848	2335	1842	1316
16611488	2331	1844	1316
16612128	2325	1851	1316
16612768	2321	1855	1318
16613408	2317	1860	1318
16614048	2316	1863	1317
16614688	2319	1865	1317
16615328	2323	1870	1316
16615968	2328	1868	1317
16616608	2332	1868	1319
16617248	2338	1865	1321
16617888	2342	1860	1321
16618528	2343	1857	1321
16619168	2345	1852	1324
16619808	2345	1850	1321
16620448	2343	1844	1317
16621088	2339	1841	1315
16621728	2334	1840	1316
16622368	2333	1841	1312
16623008	2330	1846	1312
16623648	2323	1848	1314
16624288	2326	1856	1319
16624928	2324	1848	1325
16625568	2323	1857	1319
16626208	2328	1861	1325
16626848	2330	1859	1320
16627488	2331	1860	1316
16628128	2332	1859	1315
16628768	2330	1861	1316
16629408	2333	1861	1319
16630048	2329	1860	1320
16630688	2329	1861	1317
16631328	2331	1858	1318
16631968	2330	1848	1311
16632608	2336	1819	1311
16633248	2341	1806	1305
16633888	2345	1810	1310
16634528	2344	1813	1310
16635168	2343	1826	1314
16635808	2340	1836	1321
16636448	2339	1826	1315
16637088	2340	1832	1320
16637728	2339	1825	1313
16638368	2338	1815	1311
16639008	2332	1818	1305
16639648	2333	1823	1307
16640288	2327	1833	1311
16640928	2334	1829	1314
16641568	2321	1830	1309
16642208	2324	1836	1308
16642848	2326	1851	1305
16643488	2321	1862	1309
16644128	2321	1873	1309
16644768	2315	1883	1318
16645408	2314	1861	1321
16646048	2309	1834	1317
16646688	2310	1812	1314
16647328	2308	1803	1302
16647968	2314	1805	1300
16648608	2314	1819	1293
16649248	2316	1835	1294
16649888	2307	1850	1290
16650528	2308	1857	1294
16651168	2303	1865	1294
16651808	2297	1871	1297
16652448	2291	1876	1300
16653088	2282	1879	1307
16653728	2275	1880	1301
16654368	2271	1886	1301
16655008	2272	1878	1291
16655648	2273	1883	1287
16656288	2272	1880	1264
16656928	2275	1884	1262
16657568	2273	1883	1262
16658208	2264	1872	1256
16658848	2273	1857	1269
16659488	2263	1851	1283
16660128	2253	1847	1274
16660768	2265	1862	1277
16661408	2262	1879	1274
16662048	2260	1915	1279
16662688	2239	1934	1272
16663328	2222	1966	1276
16663968	2198	1980	1282
16664608	2176	1980	1328
16665248	2165	1985	1353
16665888	2159	1998	1395
16666528	2189	2002	1348
16667168	2178	2067	1326
16667808	2164	2070	1326
16668448	2182	2046	1300
16669088	2199	1971	1290
16669728	2216	1918	1272
16670368	2235	1882	1281
16671008	2239	1866	1276
16671648	2233	1887	1273
16672288	2221	1895	1282
16672928	2211	1890	1276
16673568	2215	1894	1286
16674208	2202	1880	1283
16674848	2213	1880	1281
16675488	2217	1878	1296
16676128	2213	1876	1282
16676768	2216	1868	1279
16677408	2218	1871	1287
16678048	2222	1871	1273
16678688	2249	1869	1273
16679328	2256	1892	1278
16679968	2270	1893	1264
16680608	2271	1901	1271
16681248	2256	1904	1264
16681888	2258	1904	1264
16682528	2254	1892	1265
16683168	2252	1887	1272
16683808	2252	1883	1255
16684448	2278	1871	1239
16685088	2260	1914	1236
16685728	2239	1895	1247
16686368	2197	1920	1245
16687008	2186	1938	1282
